"Var_Names"|"Min_Value"|"Mid_value"|"Max_Value"
"total_plcc_cards"|NA|NA|NA
"time_since_last_retail_purchase"|2|170|361
"time_since_last_online_purchase"|1|14|32
"time_since_last_disc_purchase"|2|142|360
"num_days_on_books"|-296|306|5362
"avg_order_amt_last_6_mth"|1.98999977111816|50.5699996948242|347.372290344238
"num_order_num_last_6_mth"|1|1|8
"avg_order_amt_last_12_mth"|3.98999977111816|50.7400016784668|350.01130706787
"ratio_order_6_12_mth"|0.139880550729478|1|1.96788582433024
"num_order_num_last_12_mth"|1|1|11
"ratio_order_units_6_12_mth"|0.166666666666667|1|1
"bf_net_sales_amt_12_mth"|4.17999982833862|70.1800003051758|894.940002250671
"bf_on_sales_ratio"|0.000417473208913358|0.105490570176548|19.3692060639568
"num_disc_comm_responded"|1|5|74
"percent_disc_last_6_mth"|0|0|0.910194200039675
"percent_disc_last_12_mth"|0|0|0.803646632936271
"bf_go_net_sales_ratio"|0|0.126916984464124|25.9975201614806
"bf_br_net_sales_ratio"|0|0.200782859528351|23.3449726144211
"bf_gp_net_sales_ratio"|0.000261234704006283|0.13456408056906|23.5848241148806
"card_status"|3|4|4
"disc_ats"|-9.89999961853027|67.620002746582|407.230007781982
"non_disc_ats"|4.78999996185303|44.9799995422363|322.910003662109
"ratio_disc_non_disc_ats"|-0.440895010879997|1.25890296556014|16.8057432449228
"num_dist_catg_purchased"|1|1|4
"num_units_6mth"|1|10|199
"num_txn_6mth"|1|3|55
"num_units_12mth"|1|21|370
"num_txn_12mth"|1|6|102
"ratio_rev_rewd_12mth"|0|0|0.739264118740756
"ratio_rev_wo_rewd_12mth"|0|0|0.485457988814767
"on_sales_item_rev_12mth"|-3.20000002801418|93.5800032615662|1049.23670445859
"on_sales_rev_ratio_12mth"|-0.0157455853738902|0.485266241417924|1
"on_sale_item_qty_12mth"|1|1|16
"mobile_ind_tot"|0|6|849
"searchdex_ind_tot"|0|0|19
"gp_hit_ind_tot"|0|3|1042
"br_hit_ind_tot"|0|7|1006
"on_hit_ind_tot"|0|1|991
"at_hit_ind_tot"|0|0|371
"factory_hit_ind_tot"|0|0|193
"sale_hit_ind_tot"|0|2|389
"markdown_hit_ind_tot"|0|0|21
"clearance_hit_ind_tot"|0|0|98
"pct_off_hit_ind_tot"|0|0|102
"browse_hit_ind_tot"|0|15|1335
"home_hit_ind_tot"|0|3|215
"bag_add_ind_tot"|0|1|125
"purchased"|0|0|12
