samplesize,run,shrinkage,LossFunc,Predictors,OptNumTrees,TPR,TNR,Accuracy,AUC,Concordance
5000,1,0.001,bernoulli,37,13103,0.7496,0.6724,0.711,0.78539328,0.78539328
5000,1,0.001,adaboost,37,13031,0.7432,0.6656,0.7044,0.7835048,0.7835048
5000,1,0.01,bernoulli,35,1476,0.7544,0.676,0.7152,0.78853664,0.78853664
5000,1,0.01,adaboost,37,1095,0.7436,0.6632,0.7034,0.77907464,0.77907456
5000,1,0.02,bernoulli,36,549,0.7496,0.664,0.7068,0.78012464,0.780124
5000,1,0.02,adaboost,37,760,0.7452,0.6712,0.7082,0.78663576,0.78663568
5000,1,0.03,bernoulli,37,584,0.7576,0.6772,0.7174,0.79284504,0.79284496
5000,1,0.03,adaboost,37,377,0.748,0.6572,0.7026,0.77906952,0.77906896
5000,1,0.04,bernoulli,35,334,0.7472,0.668,0.7076,0.78406056,0.78405888
5000,1,0.04,adaboost,35,387,0.74,0.6728,0.7064,0.78667072,0.7866688
5000,1,0.05,bernoulli,36,326,0.744,0.6836,0.7138,0.78906744,0.78906688
5000,1,0.05,adaboost,35,317,0.7408,0.674,0.7074,0.78676928,0.78676816
5000,1,0.06,bernoulli,35,185,0.75,0.6672,0.7086,0.78005584,0.78005408
5000,1,0.06,adaboost,35,224,0.7436,0.6664,0.705,0.78143688,0.78143264
5000,1,0.07,bernoulli,33,149,0.7352,0.6716,0.7034,0.77744832,0.77744752
5000,1,0.07,adaboost,35,236,0.7436,0.6824,0.713,0.7866804,0.78667968
5000,1,0.08,bernoulli,37,197,0.75,0.6716,0.7108,0.78657248,0.78656704
5000,1,0.08,adaboost,36,172,0.748,0.6712,0.7096,0.7823916,0.78238896
5000,1,0.09,bernoulli,35,146,0.742,0.674,0.708,0.78207816,0.78207632
5000,1,0.09,adaboost,32,117,0.7456,0.6584,0.702,0.774108,0.7741016
5000,1,0.1,bernoulli,27,72,0.73,0.658,0.694,0.76956568,0.76951952
5000,1,0.1,adaboost,29,73,0.7352,0.6616,0.6984,0.76860184,0.76854864
5000,2,0.001,bernoulli,37,17214,0.7508,0.6892,0.72,0.80355232,0.80355232
5000,2,0.001,adaboost,37,11917,0.7408,0.672,0.7064,0.79178832,0.79178832
5000,2,0.01,bernoulli,37,1402,0.7484,0.6792,0.7138,0.79716384,0.79716384
5000,2,0.01,adaboost,37,1184,0.742,0.6724,0.7072,0.79111808,0.7911176
5000,2,0.02,bernoulli,37,711,0.7468,0.6804,0.7136,0.7981676,0.79816688
5000,2,0.02,adaboost,35,436,0.7356,0.6656,0.7006,0.78295208,0.78294624
5000,2,0.03,bernoulli,35,467,0.7452,0.6828,0.714,0.79729968,0.79729792
5000,2,0.03,adaboost,34,375,0.738,0.6716,0.7048,0.78886544,0.78885888
5000,2,0.04,bernoulli,35,302,0.7424,0.6748,0.7086,0.7926332,0.79263168
5000,2,0.04,adaboost,36,282,0.7416,0.6688,0.7052,0.7897008,0.78969744
5000,2,0.05,bernoulli,36,373,0.7508,0.6964,0.7236,0.8039764,0.80397536
5000,2,0.05,adaboost,36,297,0.7408,0.6872,0.714,0.7947672,0.7947656
5000,2,0.06,bernoulli,33,155,0.7392,0.6708,0.705,0.78701424,0.7870032
5000,2,0.06,adaboost,36,233,0.7528,0.6652,0.709,0.79284152,0.79283888
5000,2,0.07,bernoulli,34,178,0.7476,0.6844,0.716,0.79242392,0.7924136
5000,2,0.07,adaboost,35,146,0.7328,0.676,0.7044,0.78615288,0.7861424
5000,2,0.08,bernoulli,32,111,0.7392,0.674,0.7066,0.78193288,0.78190672
5000,2,0.08,adaboost,35,134,0.7368,0.6796,0.7082,0.78619944,0.78619712
5000,2,0.09,bernoulli,33,122,0.7456,0.6772,0.7114,0.78818656,0.78818112
5000,2,0.09,adaboost,34,115,0.74,0.6816,0.7108,0.78831144,0.78828592
5000,2,0.1,bernoulli,34,111,0.7424,0.6872,0.7148,0.79030992,0.79029824
5000,2,0.1,adaboost,31,109,0.7324,0.6784,0.7054,0.78522144,0.78521264
5000,3,0.001,bernoulli,37,12986,0.7256,0.6744,0.7,0.77943792,0.77943792
5000,3,0.001,adaboost,37,13271,0.7232,0.6728,0.698,0.77825072,0.77825072
5000,3,0.01,bernoulli,37,1355,0.7268,0.6796,0.7032,0.78091816,0.78091808
5000,3,0.01,adaboost,37,1251,0.722,0.672,0.697,0.77646144,0.77646128
5000,3,0.02,bernoulli,37,827,0.7256,0.688,0.7068,0.78549928,0.78549904
5000,3,0.02,adaboost,37,800,0.7232,0.684,0.7036,0.78255256,0.78255248
5000,3,0.03,bernoulli,36,478,0.7308,0.674,0.7024,0.782046,0.7820456
5000,3,0.03,adaboost,36,357,0.7236,0.6644,0.694,0.77189272,0.77189232
5000,3,0.04,bernoulli,37,497,0.7252,0.694,0.7096,0.7902836,0.7902832
5000,3,0.04,adaboost,36,244,0.7196,0.6684,0.694,0.76849664,0.76849568
5000,3,0.05,bernoulli,34,212,0.732,0.6564,0.6942,0.77178512,0.771784
5000,3,0.05,adaboost,33,188,0.7224,0.6604,0.6914,0.76800728,0.76800464
5000,3,0.06,bernoulli,36,234,0.7264,0.6788,0.7026,0.78058304,0.78058192
5000,3,0.06,adaboost,36,228,0.7212,0.6712,0.6962,0.774982,0.77498096
5000,3,0.07,bernoulli,34,128,0.7284,0.6624,0.6954,0.76823176,0.76822656
5000,3,0.07,adaboost,32,137,0.7168,0.6752,0.696,0.76906176,0.76906016
5000,3,0.08,bernoulli,30,108,0.7264,0.664,0.6952,0.76623848,0.76623328
5000,3,0.08,adaboost,33,153,0.73,0.6664,0.6982,0.77134856,0.77134144
5000,3,0.09,bernoulli,33,148,0.7108,0.6892,0.7,0.7779644,0.7779608
5000,3,0.09,adaboost,32,89,0.7172,0.6544,0.6858,0.76348832,0.76347024
5000,3,0.1,bernoulli,32,96,0.7208,0.6588,0.6898,0.76996192,0.76993808
5000,3,0.1,adaboost,37,177,0.7216,0.6708,0.6962,0.77982008,0.77981824
5000,4,0.001,bernoulli,37,17398,0.7608,0.7024,0.7316,0.81183344,0.81183344
5000,4,0.001,adaboost,37,14129,0.754,0.6904,0.7222,0.80397632,0.80397632
5000,4,0.01,bernoulli,37,1733,0.7556,0.708,0.7318,0.81186784,0.81186784
5000,4,0.01,adaboost,37,1266,0.748,0.6868,0.7174,0.80102432,0.80102432
5000,4,0.02,bernoulli,37,824,0.7592,0.7,0.7296,0.80985768,0.8098576
5000,4,0.02,adaboost,35,671,0.752,0.696,0.724,0.80181776,0.80181744
5000,4,0.03,bernoulli,36,554,0.7588,0.7088,0.7338,0.80997552,0.80997552
5000,4,0.03,adaboost,37,527,0.7584,0.6876,0.723,0.8053468,0.80534656
5000,4,0.04,bernoulli,35,314,0.7512,0.7004,0.7258,0.80162312,0.80162144
5000,4,0.04,adaboost,36,350,0.7568,0.692,0.7244,0.80160544,0.80160496
5000,4,0.05,bernoulli,36,221,0.7564,0.6944,0.7254,0.79871032,0.79870656
5000,4,0.05,adaboost,34,336,0.754,0.6944,0.7242,0.80426624,0.8042656
5000,4,0.06,bernoulli,36,329,0.7616,0.7036,0.7326,0.81331584,0.81331568
5000,4,0.06,adaboost,35,197,0.7512,0.6876,0.7194,0.7996204,0.79961712
5000,4,0.07,bernoulli,35,171,0.7392,0.702,0.7206,0.79805688,0.79805456
5000,4,0.07,adaboost,36,147,0.7512,0.684,0.7176,0.79376808,0.79376496
5000,4,0.08,bernoulli,34,208,0.7648,0.6948,0.7298,0.80816992,0.80816736
5000,4,0.08,adaboost,33,156,0.748,0.6948,0.7214,0.79756192,0.79756
5000,4,0.09,bernoulli,33,143,0.7608,0.6812,0.721,0.8006936,0.80068992
5000,4,0.09,adaboost,35,132,0.7464,0.6952,0.7208,0.79743568,0.79743408
5000,4,0.1,bernoulli,32,122,0.7476,0.696,0.7218,0.79893168,0.79892704
5000,4,0.1,adaboost,32,100,0.7532,0.6768,0.715,0.79235304,0.79234256
5000,5,0.001,bernoulli,37,13674,0.7488,0.6784,0.7136,0.7938304,0.7938304
5000,5,0.001,adaboost,37,10550,0.7456,0.6744,0.71,0.78640272,0.78640272
5000,5,0.01,bernoulli,36,1132,0.7476,0.6804,0.714,0.7895432,0.78954304
5000,5,0.01,adaboost,36,1096,0.7388,0.6744,0.7066,0.78672312,0.78672304
5000,5,0.02,bernoulli,35,604,0.7452,0.6796,0.7124,0.78980792,0.78980768
5000,5,0.02,adaboost,35,601,0.7444,0.6716,0.708,0.78748072,0.78748016
5000,5,0.03,bernoulli,35,489,0.7496,0.678,0.7138,0.79448088,0.79448064
5000,5,0.03,adaboost,35,299,0.7404,0.672,0.7062,0.78147976,0.78147808
5000,5,0.04,bernoulli,37,465,0.746,0.6936,0.7198,0.80072096,0.80072048
5000,5,0.04,adaboost,35,320,0.746,0.6708,0.7084,0.79012096,0.79011824
5000,5,0.05,bernoulli,33,190,0.738,0.678,0.708,0.7855792,0.78557616
5000,5,0.05,adaboost,35,318,0.7528,0.6792,0.716,0.79536768,0.7953672
5000,5,0.06,bernoulli,37,277,0.7512,0.6932,0.7222,0.79698856,0.79698768
5000,5,0.06,adaboost,35,178,0.736,0.6784,0.7072,0.78463512,0.7846312
5000,5,0.07,bernoulli,30,117,0.7352,0.6656,0.7004,0.77964928,0.77964624
5000,5,0.07,adaboost,34,175,0.7468,0.6728,0.7098,0.78796808,0.787964
5000,5,0.08,bernoulli,30,121,0.742,0.6696,0.7058,0.7839512,0.78392928
5000,5,0.08,adaboost,35,133,0.7444,0.6704,0.7074,0.78323008,0.78322432
5000,5,0.09,bernoulli,35,152,0.7384,0.68,0.7092,0.79146024,0.79145584
5000,5,0.09,adaboost,31,98,0.734,0.6712,0.7026,0.78067904,0.78066784
5000,5,0.1,bernoulli,32,96,0.7452,0.668,0.7066,0.78124992,0.78123472
5000,5,0.1,adaboost,27,62,0.7404,0.6636,0.702,0.77464768,0.7746168
6000,1,0.001,bernoulli,37,19734,0.738666667,0.668,0.703333333,0.786438889,0.786438889
6000,1,0.001,adaboost,37,16638,0.733333333,0.659,0.696166667,0.778696889,0.778696889
6000,1,0.01,bernoulli,37,1447,0.730666667,0.659,0.694833333,0.777101611,0.777101556
6000,1,0.01,adaboost,36,1683,0.728666667,0.662,0.695333333,0.778071444,0.778071444
6000,1,0.02,bernoulli,35,660,0.731666667,0.658333333,0.695,0.774567833,0.774567556
6000,1,0.02,adaboost,37,829,0.731666667,0.659666667,0.695666667,0.777837056,0.777836889
6000,1,0.03,bernoulli,36,579,0.728,0.674333333,0.701166667,0.782297444,0.782297333
6000,1,0.03,adaboost,35,462,0.727333333,0.652666667,0.69,0.771590944,0.771590778
6000,1,0.04,bernoulli,37,300,0.727666667,0.658,0.692833333,0.770352278,0.770351889
6000,1,0.04,adaboost,37,418,0.735666667,0.653333333,0.6945,0.775852833,0.775852667
6000,1,0.05,bernoulli,37,381,0.730666667,0.677,0.703833333,0.783118667,0.783118333
6000,1,0.05,adaboost,36,241,0.732333333,0.650333333,0.691333333,0.768847278,0.768845778
6000,1,0.06,bernoulli,35,244,0.725333333,0.667666667,0.6965,0.773764833,0.773763889
6000,1,0.06,adaboost,37,248,0.732,0.661666667,0.696833333,0.773333722,0.773332667
6000,1,0.07,bernoulli,36,226,0.734666667,0.658,0.696333333,0.779414556,0.779412667
6000,1,0.07,adaboost,35,148,0.729,0.644,0.6865,0.764274222,0.764270667
6000,1,0.08,bernoulli,34,153,0.738,0.650666667,0.694333333,0.770491444,0.770488444
6000,1,0.08,adaboost,32,118,0.722666667,0.649,0.685833333,0.763802889,0.763793556
6000,1,0.09,bernoulli,33,131,0.734333333,0.654333333,0.694333333,0.770477389,0.770470556
6000,1,0.09,adaboost,31,113,0.727333333,0.649666667,0.6885,0.763734889,0.763725
6000,1,0.1,bernoulli,33,77,0.724,0.637,0.6805,0.759571556,0.759539778
6000,1,0.1,adaboost,33,98,0.729666667,0.648666667,0.689166667,0.762320778,0.762313
6000,2,0.001,bernoulli,37,16507,0.745,0.688,0.7165,0.789588889,0.789588889
6000,2,0.001,adaboost,37,14008,0.743,0.679,0.711,0.784173778,0.784173778
6000,2,0.01,bernoulli,37,1646,0.745333333,0.684666667,0.715,0.789200333,0.789200333
6000,2,0.01,adaboost,37,1531,0.746333333,0.679666667,0.713,0.785875111,0.785875111
6000,2,0.02,bernoulli,37,842,0.742,0.683666667,0.712833333,0.788088722,0.788088667
6000,2,0.02,adaboost,37,697,0.742333333,0.678666667,0.7105,0.782575556,0.782575444
6000,2,0.03,bernoulli,37,613,0.752,0.687666667,0.719833333,0.792883278,0.792883222
6000,2,0.03,adaboost,36,497,0.745,0.677,0.711,0.784290833,0.784290556
6000,2,0.04,bernoulli,36,355,0.747,0.68,0.7135,0.785456222,0.785455111
6000,2,0.04,adaboost,37,405,0.746,0.676333333,0.711166667,0.785909889,0.785909556
6000,2,0.05,bernoulli,36,288,0.745,0.683666667,0.714333333,0.785591389,0.785590556
6000,2,0.05,adaboost,36,263,0.74,0.677666667,0.708833333,0.781478111,0.781476778
6000,2,0.06,bernoulli,34,168,0.744333333,0.663666667,0.704,0.776820833,0.776818333
6000,2,0.06,adaboost,35,227,0.739666667,0.676,0.707833333,0.780617056,0.780616333
6000,2,0.07,bernoulli,37,192,0.742666667,0.679666667,0.711166667,0.782188278,0.782186889
6000,2,0.07,adaboost,33,133,0.731666667,0.672333333,0.702,0.7744245,0.774413889
