"Var","MeanDecreaseGini"
"percent_disc_last_12_mth",1234.51083798261
"percent_disc_last_6_mth",1031.89692154673
"gp_hit_ind_tot",928.024770645809
"home_hit_ind_tot",803.260561744627
"per_elec_comm",784.987576786336
"num_em_campaign",701.008970739395
"num_txn_12mth",693.865988741969
"gp_net_sales_amt_12_mth",688.335413136692
"browse_hit_ind_tot",672.227638822603
"num_units_12mth",655.314005842464
"bag_add_ind_tot",640.733512711009
"avg_order_amt_last_12_mth",639.3877160088
"sale_hit_ind_tot",613.410115083674
"on_sale_item_qty_12mth",610.018794323734
"disc_ats",591.62309509522
"num_units_6mth",582.118236343933
"num_order_num_last_12_mth",537.239607004841
"avg_order_amt_last_6_mth",526.344178275975
"on_sales_item_rev_12mth",514.920521787182
"on_hit_ind_tot",508.92050419094
"gp_on_net_sales_ratio",492.831348466686
"num_txn_6mth",489.562116975036
"pct_off_hit_ind_tot",485.953351513474
"mobile_ind_tot",482.841396769162
"non_disc_ats",465.551183760278
"on_sales_rev_ratio_12mth",457.558508105612
"br_hit_ind_tot",447.413026705473
"ratio_order_6_12_mth",413.328469798332
"purchased",403.688066479057
"Time_Since_last_disc_purchase",394.991731578823
"Time_Since_last_purchase",392.65864250387
"ratio_disc_non_disc_ats",383.285897575887
"gp_br_sales_ratio",330.028069853814
"ratio_order_units_6_12_mth",316.681304890807
"at_hit_ind_tot",306.41086384671
"num_order_num_last_6_mth",306.282248601746
"card_status",298.630805436696
"ratio_rev_wo_rewd_12mth",282.177642976823
"clearance_hit_ind_tot",267.244391545984
"num_dist_catg_purchased",249.351044399796
"num_disc_comm_responded",248.582749604548
"factory_hit_ind_tot",231.34195889052
"searchdex_ind_tot",203.231954147127
"ratio_rev_rewd_12mth",186.394332575992
"gp_go_net_sales_ratio",186.005001815511
"total_plcc_cards",131.834039283999
"markdown_hit_ind_tot",109.578900943727
"gp_bf_net_sales_ratio",104.215790949098
