"Var","MeanDecreaseGini"
"percent_disc_last_12_mth",187.225194243376
"gp_net_sales_amt_12_mth",180.345911605602
"avg_order_amt_last_12_mth",172.725966578145
"Time_Since_last_disc_purchase",136.145526565151
"Time_Since_last_purchase",135.056523715546
"percent_disc_last_6_mth",132.427756583439
"num_units_12mth",127.406127728543
"avg_order_amt_last_6_mth",117.717566724796
"disc_ats",116.428043534664
"num_units_6mth",115.969181034522
"non_disc_ats",115.118251589181
"on_sales_item_rev_12mth",101.940513487373
"num_txn_12mth",101.745851324067
"num_em_campaign",92.6989993626706
"gp_on_net_sales_ratio",85.2540685940307
"on_sales_rev_ratio_12mth",84.9407426697323
"ratio_rev_wo_rewd_12mth",78.7324266686427
"num_txn_6mth",77.8663411812621
"on_sale_item_qty_12mth",74.6852582578473
"gp_br_sales_ratio",64.6557246796701
"num_disc_comm_responded",61.5547755536997
"num_order_num_last_12_mth",60.9023227583117
"ratio_order_6_12_mth",57.0957549027605
"per_elec_comm",55.1194785834093
"ratio_disc_non_disc_ats",53.8723055019707
"ratio_rev_rewd_12mth",52.9269135181543
"num_dist_catg_purchased",51.2099711121237
"card_status",50.3199811137083
"ratio_order_units_6_12_mth",37.8285946263239
"num_order_num_last_6_mth",37.1688923006592
"gp_go_net_sales_ratio",32.8167470507159
"total_plcc_cards",30.8165037861549
"gp_bf_net_sales_ratio",14.1399042056597
