"Var","MeanDecreaseGini"
"percent_disc_last_12_mth",1182.71990522507
"percent_disc_last_6_mth",929.722197896683
"per_elec_comm",788.506504193129
"gp_net_sales_amt_12_mth",760.087454460307
"num_txn_12mth",735.659190990425
"gp_hit_ind_tot",733.92666774055
"avg_order_amt_last_12_mth",719.755276854076
"num_units_12mth",701.325238061171
"num_em_campaign",646.356242816805
"home_hit_ind_tot",640.187251207297
"num_units_6mth",583.009030341535
"disc_ats",577.251707184547
"avg_order_amt_last_6_mth",551.942775875373
"on_sale_item_qty_12mth",544.029766047754
"Time_Since_last_purchase",538.095502495286
"Time_Since_last_disc_purchase",529.257023118114
"non_disc_ats",525.14693639052
"browse_hit_ind_tot",516.764973790496
"bag_add_ind_tot",506.953909734373
"num_order_num_last_12_mth",498.478400602955
"on_sales_item_rev_12mth",478.896122747896
"num_txn_6mth",476.312687230107
"gp_on_net_sales_ratio",466.748652603835
"sale_hit_ind_tot",465.918575997777
"on_sales_rev_ratio_12mth",433.400122675607
"mobile_ind_tot",408.926061646374
"on_hit_ind_tot",390.151153324061
"ratio_order_6_12_mth",376.923262470443
"pct_off_hit_ind_tot",354.748436730571
"ratio_rev_wo_rewd_12mth",351.750260882407
"ratio_disc_non_disc_ats",350.878508742618
"card_status",340.58676949552
"br_hit_ind_tot",336.380762953289
"gp_br_sales_ratio",329.965319603461
"ratio_order_units_6_12_mth",314.799096036081
"num_disc_comm_responded",296.925863533163
"purchased",290.735557148621
"ratio_rev_rewd_12mth",267.097123120064
"num_dist_catg_purchased",265.243716529959
"num_order_num_last_6_mth",242.171160100292
"at_hit_ind_tot",208.537219570222
"gp_go_net_sales_ratio",207.696955375776
"clearance_hit_ind_tot",169.465136441996
"searchdex_ind_tot",155.532257169144
"total_plcc_cards",152.624334787914
"factory_hit_ind_tot",149.028648856325
"gp_bf_net_sales_ratio",103.927014080527
"markdown_hit_ind_tot",69.6571388614521
