"samplesize","run","ntree","nodesize","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,100,1,0.711117851665776,0.703916656267898,0.7076,0.95986624,0.95868016
5000,1,100,10,0.713918327743306,0.711917987047892,0.713,0.9577612,0.95656224
5000,1,100,20,0.71431839626641,0.71151791929283,0.713,0.95787192,0.95664384
5000,1,100,30,0.708717448591588,0.70671711621661,0.7078,0.95863104,0.9574336
5000,1,100,40,0.709517582437624,0.705116852620739,0.7074,0.95775744,0.9565384
5000,1,100,50,0.716318740802043,0.707917315257578,0.7122,0.957926,0.95673312
5000,1,100,60,0.710717784166728,0.709517582437624,0.7102,0.95710608,0.95591184
5000,1,100,70,0.719119228528252,0.703116526006033,0.7112,0.95762216,0.956404
5000,1,100,80,0.70831738186058,0.711917987047892,0.7102,0.95918632,0.95803456
5000,1,100,90,0.713918327743306,0.701116202591466,0.7076,0.95794024,0.95672912
5000,1,100,100,0.722719864821389,0.707917315257578,0.7154,0.95851768,0.95730064
5000,1,200,1,0.713918327743306,0.710317716795686,0.7122,0.9576216,0.95638544
5000,1,200,10,0.715918671638902,0.713518259348209,0.7148,0.9587692,0.95756112
5000,1,200,20,0.725120294777198,0.697915691784432,0.7116,0.95801472,0.95676704
5000,1,200,30,0.710317716795686,0.709117515450603,0.7098,0.95821176,0.95704128
5000,1,200,40,0.721519651571601,0.715118533696641,0.7184,0.95641008,0.95518144
5000,1,200,50,0.716318740802043,0.709517582437624,0.713,0.9571136,0.9558984
5000,1,200,60,0.723920079223254,0.70831738186058,0.7162,0.9577576,0.95657744
5000,1,200,70,0.715918671638902,0.721919722526855,0.719,0.95841008,0.95720752
5000,1,200,80,0.713118191081119,0.701116202591466,0.7072,0.9580576,0.95684656
5000,1,200,90,0.708717448591588,0.70831738186058,0.7086,0.95889472,0.95770288
5000,1,200,100,0.708717448591588,0.707517248782582,0.7082,0.95862064,0.95742384
5000,1,300,1,0.710317716795686,0.719119228528252,0.7148,0.95753264,0.9563432
5000,1,300,10,0.719519298715456,0.712718122942036,0.7162,0.95809384,0.95690976
5000,1,300,20,0.718319088537867,0.713918327743306,0.7162,0.95720616,0.95596272
5000,1,300,30,0.711117851665776,0.70231639625619,0.7068,0.95793424,0.95668976
5000,1,300,40,0.717518949059514,0.705916984162662,0.7118,0.95867496,0.95745888
5000,1,300,50,0.717518949059514,0.711917987047892,0.7148,0.95724296,0.95602208
5000,1,300,60,0.727520729341331,0.71151791929283,0.7196,0.95721992,0.95596256
5000,1,300,70,0.70231639625619,0.715918671638902,0.7092,0.95830144,0.95710624
5000,1,300,80,0.720319439473889,0.713518259348209,0.717,0.95789464,0.95665552
5000,1,300,90,0.721919722526855,0.704316721590839,0.7132,0.95741448,0.95619184
5000,1,300,100,0.715918671638902,0.707917315257578,0.712,0.95737888,0.95615968
5000,1,400,1,0.706317050125633,0.711917987047892,0.7092,0.95751688,0.95627264
5000,1,400,10,0.711917987047892,0.703116526006033,0.7076,0.95830944,0.95712864
5000,1,400,20,0.709117515450603,0.709117515450603,0.7092,0.95722544,0.95596736
5000,1,400,30,0.715518602603768,0.712318054930961,0.714,0.95740696,0.95615296
5000,1,400,40,0.719919369030669,0.707917315257578,0.714,0.95885128,0.95764928
5000,1,400,50,0.71711887951235,0.704316721590839,0.7108,0.95858944,0.95739376
5000,1,400,60,0.713918327743306,0.707917315257578,0.711,0.95850592,0.95734144
5000,1,400,70,0.715518602603768,0.705116852620739,0.7104,0.95723112,0.95599232
5000,1,400,80,0.72432015094656,0.705916984162662,0.7152,0.95792936,0.956712
