"samplesize","run","ntree","nodesize","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,100,1,0.698715818718161,0.708717448591588,0.7038,0.95636512,0.9552048
5000,1,100,10,0.698715818718161,0.708717448591588,0.7038,0.9552432,0.95402544
5000,1,100,20,0.697915691784432,0.711917987047892,0.705,0.95704944,0.9558656
5000,1,100,30,0.696315439453033,0.713118191081119,0.7048,0.95637808,0.9552056
5000,1,100,40,0.698715818718161,0.713118191081119,0.706,0.95620896,0.95500384
5000,1,100,50,0.695515314055361,0.711117851665776,0.7034,0.95639688,0.95520176
5000,1,100,60,0.703516591072962,0.713518259348209,0.7086,0.95616,0.95493792
5000,1,100,70,0.693915064796069,0.712318054930961,0.7032,0.95605344,0.95481728
5000,1,100,80,0.700316074121677,0.715918671638902,0.7082,0.95609504,0.95490816
5000,1,100,90,0.701116202591466,0.710717784166728,0.706,0.95590432,0.9546776
5000,1,100,100,0.692714879195644,0.70831738186058,0.7006,0.95744672,0.95627008
5000,1,200,1,0.693114940934449,0.712718122942036,0.703,0.9552968,0.9540928
5000,1,200,10,0.696315439453033,0.715518602603768,0.706,0.95564424,0.95444352
5000,1,200,20,0.693515002801257,0.70831738186058,0.701,0.95708672,0.9558896
5000,1,200,30,0.692314817584844,0.709917649552652,0.7012,0.95675,0.95555824
5000,1,200,40,0.703516591072962,0.712318054930961,0.708,0.956902,0.95571344
5000,1,200,50,0.695915376690194,0.709517582437624,0.7028,0.9561676,0.95500672
5000,1,200,60,0.694715189169706,0.717518949059514,0.7062,0.9551444,0.95390688
5000,1,200,70,0.696715502343876,0.713118191081119,0.705,0.9574208,0.9562416
5000,1,200,80,0.697515628509575,0.707917315257578,0.7028,0.95748368,0.95626288
5000,1,200,90,0.697115565362723,0.711117851665776,0.7042,0.9572488,0.95602656
5000,1,200,100,0.697915691784432,0.705916984162662,0.702,0.95636312,0.95513472
5000,1,300,1,0.694315126918885,0.699115882377032,0.6968,0.95747672,0.95628976
5000,1,300,10,0.701516267018369,0.717518949059514,0.7096,0.95699112,0.9558192
5000,1,300,20,0.700316074121677,0.709517582437624,0.705,0.95495384,0.95372208
5000,1,300,30,0.693915064796069,0.714718464917522,0.7044,0.95648896,0.95531952
5000,1,300,40,0.693114940934449,0.719519298715456,0.7064,0.95712872,0.95595536
5000,1,300,50,0.704316721590839,0.706317050125633,0.7054,0.95573536,0.95450688
5000,1,300,60,0.689914450608125,0.713918327743306,0.702,0.95681624,0.95562336
5000,1,300,70,0.694715189169706,0.722719864821389,0.7088,0.95791976,0.95676208
5000,1,300,80,0.700316074121677,0.709117515450603,0.7048,0.95623112,0.95501776
5000,1,300,90,0.694315126918885,0.713918327743306,0.7042,0.95828336,0.95711248
5000,1,300,100,0.703116526006033,0.703916656267898,0.7036,0.956444,0.95523072
5000,1,400,1,0.692714879195644,0.720719510045118,0.7068,0.95754672,0.95634832
5000,1,400,10,0.690314511450902,0.714718464917522,0.7026,0.95600368,0.95476288
5000,1,400,20,0.693515002801257,0.713918327743306,0.7038,0.9559956,0.9547952
5000,1,400,30,0.696715502343876,0.708717448591588,0.7028,0.95704104,0.95584336
5000,1,400,40,0.699515946163909,0.697515628509575,0.6986,0.95587768,0.95464688
5000,1,400,50,0.693114940934449,0.703916656267898,0.6986,0.95672072,0.9555272
5000,1,400,60,0.696315439453033,0.705516918327698,0.701,0.95709544,0.95590752
