samplesize,run,coeflearn,TPR,TNR,Accuracy,CVAccuracy,AUC,Concordance
5000,1,Breiman,0.7396,0.7416,0.7406,0.7072,0.82101888,0.82089936
5000,1,Freund,0.7588,0.7472,0.753,0.699,0.83718752,0.837164
5000,1,Zhu,0.7484,0.7484,0.7484,0.7068,0.83373168,0.8337104
5000,2,Breiman,0.7552,0.736,0.7456,0.7166,0.83287152,0.83285504
5000,2,Freund,0.7624,0.7564,0.7594,0.7074,0.84488128,0.84487488
5000,2,Zhu,0.7628,0.7644,0.7636,0.701,0.85047712,0.85046896
5000,3,Breiman,0.7456,0.7488,0.7472,0.7124,0.83427,0.83425376
5000,3,Freund,0.768,0.7672,0.7676,0.7038,0.86077528,0.86076928
5000,3,Zhu,0.7672,0.7596,0.7634,0.6998,0.855036,0.85503008
5000,4,Breiman,0.7516,0.728,0.7398,0.7174,0.82265528,0.82264448
5000,4,Freund,0.766,0.7364,0.7512,0.7064,0.84054024,0.84053088
5000,4,Zhu,0.7552,0.7492,0.7522,0.7006,0.83788096,0.83786912
5000,5,Breiman,0.752,0.7124,0.7322,0.7084,0.81392448,0.81388784
5000,5,Freund,0.7864,0.7316,0.759,0.7038,0.84209504,0.8420848
5000,5,Zhu,0.7876,0.738,0.7628,0.7062,0.8502332,0.85022576
6000,1,Breiman,0.738333333,0.751,0.744666667,0.720333333,0.8329135,0.832877444
6000,1,Freund,0.751,0.746666667,0.748833333,0.719,0.840827111,0.840812222
6000,1,Zhu,0.767333333,0.737666667,0.7525,0.717,0.843104,0.843095222
6000,2,Breiman,0.750666667,0.714666667,0.732666667,0.7125,0.818947722,0.818912222
6000,2,Freund,0.770666667,0.725333333,0.748,0.699666667,0.834826444,0.834817667
6000,2,Zhu,0.784,0.717333333,0.750666667,0.7055,0.837831778,0.837825
6000,3,Breiman,0.733333333,0.732666667,0.733,0.710666667,0.8166265,0.816568556
6000,3,Freund,0.761666667,0.728666667,0.745166667,0.704166667,0.829586722,0.829572778
6000,3,Zhu,0.778,0.715333333,0.746666667,0.704833333,0.827541,0.827529556
6000,4,Breiman,0.749333333,0.738333333,0.743833333,0.718666667,0.816723278,0.816703
