SampleSize|Layers|TrainingRun|TrainingAccuracy|cvAUC|TrainingTPR|TrainingTNR|TrainingAUC|TrainingConcordance|TrainingPrecision|TrainingF1Score
5000|(30, 22, 14, 9, 6)|1|0.7372|0.7730992|0.7292|0.7452|0.81165856|0.81165856|0.741056910569|0.735080645161
5000|(30, 22, 14, 9, 6)|1|0.7364|0.7720736|0.7392|0.7336|0.81767248|0.81767248|0.73508353222|0.737136019146
5000|(30, 22, 14, 9, 6)|2|0.705|0.7658328|0.6656|0.7444|0.78378176|0.78373936|0.72253582284|0.692900270664
5000|(30, 22, 14, 9, 6)|3|0.7602|0.7789744|0.7212|0.7992|0.83714544|0.83714544|0.782212581345|0.750468262227
5000|(30, 22, 14, 9, 6)|4|0.731|0.7577712|0.734|0.728|0.80916576|0.80916576|0.729622266402|0.731804586241
5000|(30, 22, 14, 9, 6)|5|0.7154|0.7718288|0.7168|0.714|0.7949016|0.7949016|0.714798564021|0.715797882964
5000|(30, 22, 14, 9, 6)|6|0.7308|0.7778312|0.696|0.7656|0.80805296|0.80805296|0.748065348237|0.721094073767
5000|(30, 22, 14, 9, 6)|7|0.7378|0.7779344|0.7152|0.7604|0.81517392|0.81517392|0.749057394219|0.731737262124
5000|(30, 22, 14, 9, 6)|8|0.746|0.7706896|0.732|0.76|0.8158256|0.8130048|0.753086419753|0.742393509128
5000|(30, 22, 14, 9, 6)|9|0.7282|0.7804768|0.7452|0.7112|0.80663664|0.80444432|0.720696324952|0.732743362832
5000|(30, 22, 14, 9, 6)|10|0.7234|0.774144|0.722|0.7248|0.79515768|0.78429984|0.724027276374|0.723012217104
5000|(30, 22, 14, 9, 6)|11|0.7394|0.767656|0.6948|0.784|0.81052816|0.81052816|0.762845849802|0.727234666108
5000|(30, 22, 14, 9, 6)|12|0.7286|0.7392368|0.7076|0.7496|0.80387312|0.80387312|0.738622129436|0.72277834525
5000|(30, 22, 14, 9, 6)|13|0.7196|0.7778912|0.688|0.7512|0.79548864|0.79548864|0.734415029889|0.710450227179
5000|(30, 22, 14, 9, 6)|14|0.7564|0.78176|0.7252|0.7876|0.83621016|0.83621008|0.773464163823|0.748554913295
5000|(30, 22, 14, 9, 6)|15|0.7502|0.7730128|0.744|0.7564|0.8271104|0.8271104|0.753341433779|0.748641577782
5000|(30, 22, 14, 9, 6)|16|0.7236|0.765136|0.7608|0.6864|0.80806432|0.80806432|0.708116157856|0.733513305052
5000|(30, 22, 14, 9, 6)|17|0.7368|0.7717616|0.7488|0.7248|0.8136384|0.79988848|0.73125|0.739920948617
5000|(30, 22, 14, 9, 6)|18|0.7402|0.7691536|0.7024|0.778|0.8171308|0.81713072|0.75984422328|0.72999376429
5000|(30, 22, 14, 9, 6)|19|0.7338|0.763552|0.6872|0.7804|0.80584432|0.80584432|0.757829730922|0.720788756031
5000|(30, 22, 14, 9, 6)|20|0.7442|0.759568|0.7464|0.742|0.81758832|0.80403296|0.743130227001|0.744761524646
6000|(30, 22, 14, 9, 6)|1|0.752333333333|0.75653|0.697333333333|0.807333333333|0.824308888889|0.824308888889|0.783520599251|0.737918871252
6000|(30, 22, 14, 9, 6)|2|0.736166666667|0.782489444444|0.726|0.746333333333|0.815403444444|0.815403444444|0.741068390609|0.733456810911
6000|(30, 22, 14, 9, 6)|3|0.7285|0.772387222222|0.685|0.772|0.801410055556|0.80141|0.750273822563|0.716152639833
6000|(30, 22, 14, 9, 6)|4|0.7275|0.774592222222|0.693|0.762|0.805512111111|0.805512111111|0.744360902256|0.717762817193
6000|(30, 22, 14, 9, 6)|5|0.743333333333|0.787095555556|0.705666666667|0.781|0.824215555556|0.824215555556|0.763157894737|0.73328714929
6000|(30, 22, 14, 9, 6)|6|0.74|0.765537777778|0.721333333333|0.758666666667|0.820766777778|0.820766666667|0.749307479224|0.735054347826
6000|(30, 22, 14, 9, 6)|7|0.732166666667|0.776242777778|0.696666666667|0.767666666667|0.815594444444|0.815594444444|0.749910297811|0.722308622775
6000|(30, 22, 14, 9, 6)|8|0.734333333333|0.781185|0.711|0.757666666667|0.813832777778|0.813832777778|0.745804195804|0.727986348123
