"samplesize","run","shrinkage","LossFunc","Predictors","OptNumTrees","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,0.001,bernoulli,34,14444,0.7464,0.7388,0.7426,0.824444559999994,0.82444448
5000,1,0.001,adaboost,34,11667,0.7416,0.7312,0.7364,0.818315679999995,0.81831568
5000,1,0.01,bernoulli,34,1351,0.7512,0.734,0.7426,0.822809280000003,0.82280864
5000,1,0.01,adaboost,34,1172,0.7396,0.732,0.7358,0.818852959999997,0.81885216
5000,1,0.02,bernoulli,33,571,0.746,0.7296,0.7378,0.817978879999997,0.81797664
5000,1,0.02,adaboost,33,513,0.7388,0.7264,0.7326,0.814752240000002,0.81475024
5000,1,0.03,bernoulli,33,442,0.7436,0.7372,0.7404,0.822207919999995,0.82220368
5000,1,0.03,adaboost,33,418,0.7436,0.7276,0.7356,0.818463760000001,0.81846128
5000,1,0.04,bernoulli,33,345,0.748,0.7376,0.7428,0.822526799999995,0.82252336
5000,1,0.04,adaboost,33,229,0.7332,0.726,0.7296,0.812556799999997,0.81254944
5000,1,0.05,bernoulli,33,230,0.7472,0.7292,0.7382,0.817531440000001,0.81752592
5000,1,0.05,adaboost,33,203,0.7432,0.7216,0.7324,0.814455679999999,0.81444896
5000,1,0.06,bernoulli,34,182,0.7424,0.7264,0.7344,0.816696159999999,0.81668544
5000,1,0.06,adaboost,34,213,0.7448,0.7292,0.737,0.817778400000001,0.81777312
5000,1,0.07,bernoulli,32,118,0.7368,0.7248,0.7308,0.810206799999999,0.81018704
5000,1,0.07,adaboost,33,159,0.7392,0.7324,0.7358,0.816830239999996,0.81682704
5000,1,0.08,bernoulli,33,129,0.744,0.7272,0.7356,0.81514104,0.81513232
5000,1,0.08,adaboost,29,83,0.7368,0.7152,0.726,0.807522240000002,0.80745056
5000,1,0.09,bernoulli,31,100,0.7432,0.7192,0.7312,0.810250960000001,0.81017392
5000,1,0.09,adaboost,29,72,0.74,0.7188,0.7294,0.80780896,0.80773424
5000,1,0.1,bernoulli,32,113,0.7416,0.7232,0.7324,0.814617280000001,0.81458176
5000,1,0.1,adaboost,31,75,0.746,0.7092,0.7276,0.807916320000001,0.80789216
5000,2,0.001,bernoulli,34,12060,0.7572,0.7072,0.7322,0.809134879999999,0.80913488
5000,2,0.001,adaboost,34,11940,0.7524,0.7036,0.728,0.807051039999999,0.80705104
5000,2,0.01,bernoulli,34,1040,0.7512,0.7072,0.7292,0.806713199999998,0.8067128
5000,2,0.01,adaboost,34,1009,0.7468,0.702,0.7244,0.803587839999997,0.80358768
5000,2,0.02,bernoulli,34,608,0.7572,0.7056,0.7314,0.808078000000002,0.80807744
5000,2,0.02,adaboost,34,480,0.7492,0.7048,0.727,0.802672639999998,0.80267152
5000,2,0.03,bernoulli,33,343,0.7544,0.7104,0.7324,0.804974479999999,0.80497168
5000,2,0.03,adaboost,33,242,0.7492,0.6956,0.7224,0.7979324,0.79792816
5000,2,0.04,bernoulli,33,279,0.752,0.7048,0.7284,0.804163439999998,0.80415792
5000,2,0.04,adaboost,33,228,0.7452,0.7044,0.7248,0.80145792,0.80144896
5000,2,0.05,bernoulli,34,210,0.7592,0.706,0.7326,0.805931759999996,0.80592496
5000,2,0.05,adaboost,33,229,0.7532,0.6952,0.7242,0.804847360000001,0.80483616
5000,2,0.06,bernoulli,29,119,0.7484,0.698,0.7232,0.798196799999997,0.79817488
5000,2,0.06,adaboost,32,146,0.7512,0.7,0.7256,0.80043128,0.80042384
5000,2,0.07,bernoulli,31,133,0.7436,0.708,0.7258,0.801869679999999,0.80184032
5000,2,0.07,adaboost,30,83,0.7356,0.6976,0.7166,0.792373599999999,0.79234688
5000,2,0.08,bernoulli,34,209,0.7648,0.7064,0.7356,0.814442080000002,0.81443216
5000,2,0.08,adaboost,32,135,0.7512,0.6992,0.7252,0.802211119999997,0.80219968
5000,2,0.09,bernoulli,34,174,0.7592,0.7096,0.7344,0.8111152,0.81110864
5000,2,0.09,adaboost,33,105,0.7492,0.6956,0.7224,0.800487279999997,0.80046464
5000,2,0.1,bernoulli,28,67,0.7468,0.6956,0.7212,0.79466456,0.7946392
5000,2,0.1,adaboost,32,114,0.7504,0.7028,0.7266,0.804517839999997,0.804488
5000,3,0.001,bernoulli,34,18336,0.756,0.7372,0.7466,0.827495360000001,0.82749536
5000,3,0.001,adaboost,34,10504,0.7488,0.722,0.7354,0.812881279999994,0.81288128
5000,3,0.01,bernoulli,34,1438,0.7524,0.7364,0.7444,0.821220799999994,0.82122016
5000,3,0.01,adaboost,34,1034,0.746,0.7248,0.7354,0.81268512,0.81268368
5000,3,0.02,bernoulli,34,702,0.7576,0.7336,0.7456,0.820914320000002,0.82091344
5000,3,0.02,adaboost,34,834,0.75,0.7312,0.7406,0.821059919999999,0.82105904
5000,3,0.03,bernoulli,34,298,0.7512,0.7204,0.7358,0.80960056,0.80958048
5000,3,0.03,adaboost,34,316,0.744,0.7176,0.7308,0.8097252,0.8097176
5000,3,0.04,bernoulli,34,234,0.7452,0.72,0.7326,0.810939039999996,0.81092384
5000,3,0.04,adaboost,34,328,0.7476,0.7256,0.7366,0.815583680000001,0.81558064
5000,3,0.05,bernoulli,33,202,0.7432,0.7284,0.7358,0.811347519999999,0.81132784
5000,3,0.05,adaboost,32,157,0.7396,0.714,0.7268,0.806254160000001,0.8061968
5000,3,0.06,bernoulli,33,200,0.752,0.732,0.742,0.815960799999998,0.8159424
5000,3,0.06,adaboost,34,277,0.7512,0.7224,0.7368,0.818968880000002,0.8189648
5000,3,0.07,bernoulli,33,129,0.748,0.724,0.736,0.809353279999999,0.8093216
5000,3,0.07,adaboost,33,148,0.7496,0.7116,0.7306,0.810636,0.81059888
5000,3,0.08,bernoulli,33,105,0.7496,0.7144,0.732,0.807972480000001,0.80793104
5000,3,0.08,adaboost,33,103,0.7472,0.7032,0.7252,0.805369280000001,0.80525952
5000,3,0.09,bernoulli,33,154,0.76,0.7216,0.7408,0.817650880000001,0.81762912
5000,3,0.09,adaboost,32,81,0.748,0.7044,0.7262,0.803963039999999,0.80389504
5000,3,0.1,bernoulli,33,93,0.74,0.7244,0.7322,0.810184559999998,0.81008528
5000,3,0.1,adaboost,33,115,0.748,0.718,0.733,0.81234592,0.8123304
5000,4,0.001,bernoulli,34,13626,0.76,0.7188,0.7394,0.81542448,0.81542448
5000,4,0.001,adaboost,34,16260,0.7636,0.7184,0.741,0.817727360000005,0.81772736
5000,4,0.01,bernoulli,34,1276,0.7592,0.7152,0.7372,0.81353392,0.81353184
5000,4,0.01,adaboost,34,1358,0.76,0.7124,0.7362,0.813533839999999,0.81353344
5000,4,0.02,bernoulli,34,750,0.7624,0.7244,0.7434,0.816967119999998,0.81696384
5000,4,0.02,adaboost,34,577,0.7564,0.7116,0.734,0.809656639999997,0.80965504
5000,4,0.03,bernoulli,34,496,0.7616,0.7248,0.7432,0.81693856,0.81693488
5000,4,0.03,adaboost,34,312,0.7536,0.704,0.7288,0.805838720000002,0.805836
5000,4,0.04,bernoulli,33,294,0.7584,0.7168,0.7376,0.813239359999998,0.81323184
5000,4,0.04,adaboost,34,254,0.7576,0.6988,0.7282,0.805224400000001,0.80520672
5000,4,0.05,bernoulli,34,177,0.7568,0.7092,0.733,0.805717840000001,0.80569968
5000,4,0.05,adaboost,34,219,0.7528,0.7092,0.731,0.807967280000001,0.80796192
5000,4,0.06,bernoulli,33,174,0.7508,0.7148,0.7328,0.806682399999998,0.80666768
5000,4,0.06,adaboost,34,200,0.754,0.71,0.732,0.808259520000001,0.8082528
5000,4,0.07,bernoulli,33,132,0.752,0.7144,0.7332,0.806365919999998,0.80632896
5000,4,0.07,adaboost,34,198,0.752,0.7164,0.7342,0.812485519999998,0.8124776
5000,4,0.08,bernoulli,30,92,0.7568,0.6944,0.7256,0.8013928,0.80131344
5000,4,0.08,adaboost,34,138,0.7604,0.6988,0.7296,0.807363599999999,0.80734128
5000,4,0.09,bernoulli,34,172,0.76,0.7188,0.7394,0.81423328,0.81421456
5000,4,0.09,adaboost,34,157,0.7664,0.7048,0.7356,0.811156800000002,0.8111424
5000,4,0.1,bernoulli,33,159,0.762,0.718,0.74,0.816787119999997,0.81675344
5000,4,0.1,adaboost,30,73,0.75,0.6992,0.7246,0.798690479999999,0.7986216
5000,5,0.001,bernoulli,34,10216,0.7592,0.7048,0.732,0.808611999999998,0.80861184
5000,5,0.001,adaboost,34,8853,0.7552,0.6996,0.7274,0.804597599999997,0.80459744
5000,5,0.01,bernoulli,34,1261,0.7632,0.71,0.7366,0.812362639999998,0.81236112
5000,5,0.01,adaboost,34,1147,0.758,0.7024,0.7302,0.808386159999997,0.80838416
5000,5,0.02,bernoulli,34,494,0.7676,0.7,0.7338,0.807594079999999,0.80757856
5000,5,0.02,adaboost,34,526,0.7588,0.7012,0.73,0.806541039999999,0.8065344
5000,5,0.03,bernoulli,34,381,0.7572,0.7072,0.7322,0.809858160000002,0.80985104
5000,5,0.03,adaboost,34,456,0.7516,0.7064,0.729,0.811586719999996,0.81158416
5000,5,0.04,bernoulli,34,322,0.7604,0.7124,0.7364,0.812863679999999,0.81285232
5000,5,0.04,adaboost,34,163,0.7472,0.6972,0.7222,0.798923840000001,0.79888144
5000,5,0.05,bernoulli,34,314,0.7668,0.7048,0.7358,0.815441600000002,0.81542784
5000,5,0.05,adaboost,34,146,0.7512,0.7,0.7256,0.800134080000001,0.80010016
5000,5,0.06,bernoulli,34,139,0.752,0.7028,0.7274,0.804372239999998,0.80429408
5000,5,0.06,adaboost,32,113,0.7476,0.7012,0.7244,0.799382320000002,0.79929152
5000,5,0.07,bernoulli,34,136,0.7556,0.7068,0.7312,0.805263120000001,0.8052248
5000,5,0.07,adaboost,30,71,0.7492,0.6912,0.7202,0.794353440000001,0.79398224
5000,5,0.08,bernoulli,33,136,0.7596,0.7072,0.7334,0.80683448,0.80680256
5000,5,0.08,adaboost,31,82,0.7524,0.6916,0.722,0.79837608,0.7981984
5000,5,0.09,bernoulli,32,112,0.758,0.6992,0.7286,0.806024160000001,0.80590128
5000,5,0.09,adaboost,31,79,0.748,0.6944,0.7212,0.799180639999997,0.79907744
5000,5,0.1,bernoulli,28,65,0.7524,0.6984,0.7254,0.79808704,0.79800448
5000,5,0.1,adaboost,34,91,0.76,0.6912,0.7256,0.803203119999997,0.80316896
6000,1,0.001,bernoulli,34,14087,0.763,0.723666666666667,0.743333333333333,0.819595833333335,0.819595777777778
6000,1,0.001,adaboost,34,11830,0.757666666666667,0.714666666666667,0.736166666666667,0.8151635,0.815163444444444
6000,1,0.01,bernoulli,34,1012,0.758,0.716,0.737,0.813114611111113,0.813104444444444
6000,1,0.01,adaboost,34,788,0.752333333333333,0.710333333333333,0.731333333333333,0.808615333333329,0.808612555555556
6000,1,0.02,bernoulli,34,626,0.758,0.721666666666667,0.739833333333333,0.816542555555558,0.81654
6000,1,0.02,adaboost,34,608,0.754333333333333,0.719333333333333,0.736833333333333,0.81549438888889,0.815487555555556
6000,1,0.03,bernoulli,34,406,0.756,0.718333333333333,0.737166666666667,0.817085833333335,0.817077555555556
6000,1,0.03,adaboost,34,341,0.757,0.71,0.7335,0.812320444444439,0.812315111111111
6000,1,0.04,bernoulli,34,424,0.763,0.731,0.747,0.822559333333334,0.822556555555556
6000,1,0.04,adaboost,32,186,0.755,0.706666666666667,0.730833333333333,0.807482777777781,0.807455222222222
6000,1,0.05,bernoulli,33,187,0.756666666666667,0.711333333333333,0.734,0.811812722222219,0.811802
6000,1,0.05,adaboost,34,320,0.765666666666667,0.713,0.739333333333333,0.819009888888891,0.819006333333333
6000,1,0.06,bernoulli,33,193,0.758666666666667,0.711333333333333,0.735,0.813052,0.813036444444444
6000,1,0.06,adaboost,33,206,0.757,0.713,0.735,0.81450777777778,0.814493
6000,1,0.07,bernoulli,34,204,0.764333333333333,0.711666666666667,0.738,0.818084166666669,0.818074555555556
6000,1,0.07,adaboost,32,151,0.759666666666667,0.708,0.733833333333333,0.810688111111114,0.810670666666667
6000,1,0.08,bernoulli,34,105,0.753333333333333,0.714,0.733666666666667,0.808056777777777,0.807998666666667
6000,1,0.08,adaboost,34,113,0.756333333333333,0.710666666666667,0.7335,0.809331388888887,0.809295666666667
6000,1,0.09,bernoulli,33,121,0.751666666666667,0.714333333333333,0.733,0.812185611111111,0.812114111111111
6000,1,0.09,adaboost,30,84,0.758,0.709,0.7335,0.806620999999997,0.806535222222222
6000,1,0.1,bernoulli,32,116,0.759333333333333,0.722333333333333,0.740833333333333,0.814670444444445,0.814631444444444
6000,1,0.1,adaboost,31,92,0.757,0.709666666666667,0.733333333333333,0.808023055555554,0.807974333333333
6000,2,0.001,bernoulli,34,13300,0.739333333333333,0.714333333333333,0.726833333333333,0.809011499999995,0.809011444444444
6000,2,0.001,adaboost,34,14534,0.739666666666667,0.713,0.726333333333333,0.808846777777778,0.808846777777778
6000,2,0.01,bernoulli,34,1030,0.737333333333333,0.712,0.724666666666667,0.803679277777778,0.803678222222222
6000,2,0.01,adaboost,34,1097,0.737333333333333,0.709333333333333,0.723333333333333,0.804454111111111,0.804453444444444
6000,2,0.02,bernoulli,34,571,0.739,0.710333333333333,0.724666666666667,0.805592,0.805590444444444
6000,2,0.02,adaboost,34,722,0.739,0.711666666666667,0.725333333333333,0.807997666666666,0.807996
6000,2,0.03,bernoulli,34,334,0.74,0.709333333333333,0.724666666666667,0.803245888888892,0.803240333333333
6000,2,0.03,adaboost,34,457,0.737666666666667,0.709333333333333,0.7235,0.807423722222223,0.807422666666667
6000,2,0.04,bernoulli,33,165,0.731,0.705,0.718,0.795831000000001,0.795813222222222
6000,2,0.04,adaboost,34,240,0.736666666666667,0.708333333333333,0.7225,0.800699388888888,0.800687666666667
6000,2,0.05,bernoulli,34,185,0.738666666666667,0.708,0.723333333333333,0.801325500000002,0.801296444444444
6000,2,0.05,adaboost,33,187,0.735333333333333,0.705666666666667,0.7205,0.799279666666664,0.799270777777778
6000,2,0.06,bernoulli,33,132,0.735,0.71,0.7225,0.797818222222221,0.797800666666667
6000,2,0.06,adaboost,34,221,0.737333333333333,0.709666666666667,0.7235,0.805737611111112,0.805733888888889
6000,2,0.07,bernoulli,31,132,0.729,0.709,0.719,0.799964111111112,0.799955333333333
6000,2,0.07,adaboost,34,178,0.738666666666667,0.710666666666667,0.724666666666667,0.803857333333333,0.803852333333333
6000,2,0.08,bernoulli,34,120,0.744333333333333,0.705,0.724666666666667,0.800247666666666,0.800229333333333
6000,2,0.08,adaboost,31,104,0.732333333333333,0.703333333333333,0.717833333333333,0.796877111111109,0.796850333333333
6000,2,0.09,bernoulli,32,100,0.734333333333333,0.706,0.720166666666667,0.800238111111111,0.800215111111111
6000,2,0.09,adaboost,34,158,0.738333333333333,0.715666666666667,0.727,0.806622833333332,0.806614222222222
6000,2,0.1,bernoulli,32,85,0.739,0.702,0.7205,0.798954833333334,0.798919222222222
6000,2,0.1,adaboost,34,166,0.741333333333333,0.706333333333333,0.723833333333333,0.807755944444441,0.807746777777778
6000,3,0.001,bernoulli,34,16355,0.750333333333333,0.717333333333333,0.733833333333333,0.817556444444447,0.817556444444444
6000,3,0.001,adaboost,34,12802,0.748,0.706333333333333,0.727166666666667,0.811101277777778,0.811101222222222
6000,3,0.01,bernoulli,34,1341,0.744666666666667,0.712,0.728333333333333,0.813078444444442,0.813078111111111
6000,3,0.01,adaboost,34,1111,0.748333333333333,0.704666666666667,0.7265,0.808274166666666,0.808273
6000,3,0.02,bernoulli,34,673,0.745,0.712333333333333,0.728666666666667,0.81289072222222,0.812889666666667
6000,3,0.02,adaboost,34,771,0.752666666666667,0.706333333333333,0.7295,0.814158111111111,0.814157111111111
6000,3,0.03,bernoulli,34,408,0.75,0.709333333333333,0.729666666666667,0.810510111111114,0.810506333333333
6000,3,0.03,adaboost,34,492,0.752666666666667,0.702666666666667,0.727666666666667,0.813519888888891,0.813518444444444
6000,3,0.04,bernoulli,34,498,0.754666666666667,0.724666666666667,0.739666666666667,0.81996716666667,0.819965222222222
6000,3,0.04,adaboost,34,356,0.748666666666667,0.711,0.729833333333333,0.811521888888887,0.811518444444444
6000,3,0.05,bernoulli,34,239,0.740666666666667,0.718,0.729333333333333,0.810106333333333,0.810095222222222
6000,3,0.05,adaboost,34,197,0.747666666666667,0.702,0.724833333333333,0.804804166666663,0.804795333333333
6000,3,0.06,bernoulli,34,177,0.740666666666667,0.712333333333333,0.7265,0.806071666666666,0.80606
6000,3,0.06,adaboost,34,228,0.750666666666667,0.71,0.730333333333333,0.809960444444441,0.809957111111111
6000,3,0.07,bernoulli,33,151,0.746,0.704666666666667,0.725333333333333,0.807700222222221,0.807688333333333
6000,3,0.07,adaboost,34,175,0.751666666666667,0.699,0.725333333333333,0.809248833333335,0.809240111111111
6000,3,0.08,bernoulli,33,173,0.745666666666667,0.712666666666667,0.729166666666667,0.811719222222222,0.811712888888889
6000,3,0.08,adaboost,34,188,0.753666666666667,0.704333333333333,0.729,0.811302777777778,0.811282777777778
6000,3,0.09,bernoulli,34,188,0.744666666666667,0.719,0.731833333333333,0.815111944444448,0.815102444444444
6000,3,0.09,adaboost,31,121,0.741666666666667,0.709,0.725333333333333,0.806087888888888,0.806065111111111
6000,3,0.1,bernoulli,33,104,0.741,0.715666666666667,0.728333333333333,0.806849166666665,0.806800777777778
6000,3,0.1,adaboost,29,76,0.736333333333333,0.708333333333333,0.722333333333333,0.799806222222223,0.799763888888889
6000,4,0.001,bernoulli,34,14393,0.75,0.732333333333333,0.741166666666667,0.817946499999998,0.817946444444444
6000,4,0.001,adaboost,34,13850,0.749333333333333,0.725666666666667,0.7375,0.815945944444445,0.815945888888889
6000,4,0.01,bernoulli,34,1431,0.751333333333333,0.728333333333333,0.739833333333333,0.817035888888885,0.817035
6000,4,0.01,adaboost,34,1272,0.753,0.718333333333333,0.735666666666667,0.814011277777778,0.814010777777778
6000,4,0.02,bernoulli,34,691,0.747,0.731333333333333,0.739166666666667,0.816580722222219,0.816579333333333
