"Var","MeanDecreaseGini"
"percent_disc_last_12_mth",437.698459334943
"avg_order_amt_last_12_mth",348.466939633503
"on_net_sales_amt_12_mth",341.867122154387
"Time_since_acquisition",341.047264298656
"num_days_on_books",340.014516321606
"percent_disc_last_6_mth",324.555351493614
"non_disc_ats",282.615605156052
"ratio_rev_rewd_12mth",278.173173004435
"per_elec_comm",271.630702035056
"avg_order_amt_last_6_mth",267.888938383068
"Time_Since_last_Retail_purchase",267.631854316442
"num_em_campaign",250.752282988728
"disc_ats",236.61807941702
"num_units_12mth",233.205612980322
"num_units_6mth",203.959148081081
"on_hit_ind_tot",199.957660356898
"ratio_order_6_12_mth",183.153977296271
"browse_hit_ind_tot",168.260513908935
"Time_Since_last_Onl_purchase",167.731396564227
"num_txn_12mth",165.02040951799
"ratio_disc_non_disc_ats",163.995910134988
"num_disc_comm_responded",159.749692930428
"sale_hit_ind_tot",151.875993516044
"on_sales_rev_ratio_12mth",150.991265495425
"ratio_rev_wo_rewd_12mth",149.533780916174
"on_sales_item_rev_12mth",148.385606606598
"time_since_last_disc_purchase",148.192550896205
"card_status",147.956362979568
"home_hit_ind_tot",147.094105717741
"mobile_ind_tot",144.628806303013
"bag_add_ind_tot",140.276059211644
"on_sale_item_qty_12mth",135.036100280573
"pct_off_hit_ind_tot",134.680714740654
"num_dist_catg_purchased",128.663568092205
"num_txn_6mth",128.447977656135
"ratio_order_units_6_12_mth",125.073061272552
"gp_hit_ind_tot",121.823891020117
"on_gp_net_sales_ratio",118.854115542424
"num_order_num_last_12_mth",117.874219509593
"clearance_hit_ind_tot",103.854547403577
"num_order_num_last_6_mth",81.2459618121986
"purchased",78.5574881962926
"br_hit_ind_tot",75.0225365117009
"on_go_net_sales_ratio",69.4957274442438
"on_br_sales_ratio",65.917715198697
"total_plcc_cards",63.6205295482515
"at_hit_ind_tot",53.3939837153667
"on_bf_net_sales_ratio",44.429589860341
"searchdex_ind_tot",43.0432532376648
"factory_hit_ind_tot",41.4356323933541
"markdown_hit_ind_tot",15.6683331238117
