"samplesize","run","ntree","nodesize","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,100,1,0.715518602603768,0.676312458115422,0.696,0.9532072,0.95192624
5000,1,100,10,0.724720222797874,0.670711680685887,0.6978,0.95269744,0.95142848
5000,1,100,20,0.70831738186058,0.675912401752733,0.6922,0.95313464,0.95183024
5000,1,100,30,0.728320875220116,0.664710875565804,0.6966,0.95427112,0.95293008
5000,1,100,40,0.712718122942036,0.68431361224959,0.6986,0.9539776,0.95276656
5000,1,100,50,0.710317716795686,0.668711409112521,0.6896,0.95293576,0.95169552
5000,1,100,60,0.70671711621661,0.67511228941136,0.691,0.95443552,0.95315232
5000,1,100,70,0.710317716795686,0.68391355332686,0.6972,0.95423248,0.95296192
5000,1,100,80,0.70831738186058,0.677112571224804,0.6928,0.95329872,0.95202272
5000,1,100,90,0.710717784166728,0.675912401752733,0.6934,0.95253584,0.95119072
5000,1,100,100,0.717518949059514,0.675512345518046,0.6966,0.9526948,0.95138304
5000,1,200,1,0.712318054930961,0.681513202478532,0.697,0.95323264,0.95200048
5000,1,200,10,0.716718810093193,0.668311355181849,0.6926,0.9525824,0.95128544
5000,1,200,20,0.707917315257578,0.676712514606112,0.6924,0.95388544,0.9526072
5000,1,200,30,0.719119228528252,0.671111735384562,0.6952,0.95419416,0.95288864
5000,1,200,40,0.715118533696641,0.669911571672539,0.6926,0.9536508,0.95236848
5000,1,200,50,0.711917987047892,0.672711955459269,0.6924,0.95601592,0.95479824
5000,1,200,60,0.710717784166728,0.673112010797949,0.692,0.95237936,0.9510672
5000,1,200,70,0.704716787041786,0.670711680685887,0.6878,0.95160048,0.95028432
5000,1,200,80,0.713518259348209,0.673112010797949,0.6934,0.95469952,0.95345088
5000,1,200,90,0.70831738186058,0.668311355181849,0.6884,0.953292,0.95201904
5000,1,200,100,0.715118533696641,0.676312458115422,0.6958,0.95549616,0.9542752
5000,1,300,1,0.71431839626641,0.671511790211238,0.693,0.95204832,0.95071648
5000,1,300,10,0.704316721590839,0.676712514606112,0.6906,0.95327728,0.95198576
5000,1,300,20,0.71711887951235,0.672311900248591,0.6948,0.95367656,0.95243456
5000,1,300,30,0.707517248782582,0.671111735384562,0.6894,0.9541048,0.95289536
5000,1,300,40,0.711917987047892,0.669111463171193,0.6906,0.95208744,0.95079088
5000,1,300,50,0.708717448591588,0.67511228941136,0.692,0.95387856,0.95260512
5000,1,300,60,0.713918327743306,0.663510717997786,0.6888,0.95292144,0.95160016
5000,1,300,70,0.713518259348209,0.676712514606112,0.6952,0.9545168,0.95322768
5000,1,300,80,0.712318054930961,0.674312177581992,0.6934,0.9543096,0.95305792
5000,1,300,90,0.716718810093193,0.678312741848888,0.6976,0.95315288,0.9518392
5000,1,300,100,0.713118191081119,0.664710875565804,0.689,0.95281776,0.95155312
5000,1,400,1,0.710717784166728,0.673912121859309,0.6924,0.95407256,0.95282352
5000,1,400,10,0.701116202591466,0.681513202478532,0.6914,0.95284024,0.95155648
5000,1,400,20,0.717919018734687,0.672711955459269,0.6954,0.9546468,0.95339248
5000,1,400,30,0.719919369030669,0.677112571224804,0.6986,0.95335776,0.95205536
5000,1,400,40,0.714718464917522,0.672311900248591,0.6936,0.95367224,0.95242816
5000,1,400,50,0.716718810093193,0.679912971139694,0.6984,0.95251568,0.95125136
5000,1,400,60,0.706317050125633,0.677512627971497,0.692,0.95273824,0.95142384
5000,1,400,70,0.709917649552652,0.673912121859309,0.692,0.953578,0.95233312
5000,1,400,80,0.71431839626641,0.675912401752733,0.6952,0.95406512,0.95276304
5000,1,400,90,0.712718122942036,0.674312177581992,0.6936,0.95262632,0.9513216
5000,1,400,100,0.70831738186058,0.673912121859309,0.6912,0.95355912,0.95225632
5000,1,500,1,0.712318054930961,0.666311087448491,0.6894,0.95373288,0.95244928
5000,1,500,10,0.715518602603768,0.666711140739162,0.6912,0.954132,0.95287056
5000,1,500,20,0.707117182435593,0.679112856238288,0.6932,0.95425328,0.95297856
5000,1,500,30,0.715118533696641,0.673112010797949,0.6942,0.95542968,0.95421104
5000,1,500,40,0.710317716795686,0.674312177581992,0.6924,0.95295176,0.95165088
5000,1,500,50,0.71711887951235,0.673512066264629,0.6954,0.95372736,0.9524768
5000,1,500,60,0.712318054930961,0.680313028782401,0.6964,0.95331344,0.95206352
5000,1,500,70,0.70671711621661,0.669511517357866,0.6882,0.95362528,0.9523584
5000,1,500,80,0.70671711621661,0.674312177581992,0.6906,0.95224096,0.9509648
5000,1,500,90,0.723119936160668,0.680313028782401,0.7018,0.95385248,0.95259056
5000,1,500,100,0.715918671638902,0.679112856238288,0.6976,0.95458536,0.95332624
5000,1,600,1,0.698715818718161,0.68391355332686,0.6914,0.95367192,0.95239536
5000,1,600,10,0.70671711621661,0.679912971139694,0.6934,0.95240504,0.95109072
5000,1,600,20,0.699515946163909,0.681113144451819,0.6904,0.953322,0.95205296
5000,1,600,30,0.71431839626641,0.672311900248591,0.6934,0.9522016,0.95085728
5000,1,600,40,0.719519298715456,0.677912684846192,0.6988,0.95224096,0.95090832
5000,1,600,50,0.700716138292569,0.674312177581992,0.6876,0.95424304,0.952968
5000,1,600,60,0.704716787041786,0.678712798979587,0.6918,0.9531816,0.95192144
5000,1,600,70,0.717919018734687,0.673112010797949,0.6956,0.95264448,0.9513224
5000,1,600,80,0.721119580744355,0.671111735384562,0.6962,0.95370848,0.95241952
5000,1,600,90,0.710717784166728,0.681113144451819,0.696,0.95372184,0.95245312
5000,1,600,100,0.719119228528252,0.665510981251148,0.6924,0.95434784,0.95302688
5000,1,700,1,0.714718464917522,0.667911301379177,0.6914,0.9531164,0.95184352
5000,1,700,10,0.701916331573276,0.678312741848888,0.6902,0.95246728,0.95123488
5000,1,700,20,0.716318740802043,0.671911845165914,0.6942,0.95281104,0.95153392
5000,1,700,30,0.711117851665776,0.67511228941136,0.6932,0.95313064,0.95185792
5000,1,700,40,0.716718810093193,0.682313318915965,0.6996,0.95239896,0.95108512
5000,1,700,50,0.717919018734687,0.661510457944413,0.6898,0.95202288,0.95072496
5000,1,700,60,0.71431839626641,0.67511228941136,0.6948,0.95386496,0.95258368
5000,1,700,70,0.71431839626641,0.673112010797949,0.6938,0.95387696,0.9526312
5000,1,700,80,0.718319088537867,0.671511790211238,0.695,0.95251656,0.951232
5000,1,700,90,0.704716787041786,0.664310822915132,0.6846,0.95341424,0.95213008
5000,1,700,100,0.710717784166728,0.674712233432675,0.6928,0.95381576,0.95254144
5000,1,800,1,0.716318740802043,0.669511517357866,0.693,0.95320104,0.95191376
5000,1,800,10,0.718719158469055,0.676312458115422,0.6976,0.95384608,0.95254112
5000,1,800,20,0.70831738186058,0.677112571224804,0.6928,0.95436896,0.9530328
5000,1,800,30,0.721119580744355,0.663110665731113,0.6922,0.95497368,0.95372928
5000,1,800,40,0.714718464917522,0.685913849220538,0.7004,0.9542644,0.95305472
5000,1,800,50,0.710717784166728,0.671911845165914,0.6914,0.95501576,0.95378576
5000,1,800,60,0.713118191081119,0.678712798979587,0.696,0.953246,0.95197696
5000,1,800,70,0.698315755187294,0.668311355181849,0.6834,0.95232576,0.95099696
5000,1,800,80,0.712718122942036,0.681113144451819,0.697,0.95287464,0.95162832
5000,1,800,90,0.715918671638902,0.682313318915965,0.6992,0.95157104,0.95025712
5000,1,800,100,0.703516591072962,0.674312177581992,0.689,0.95346344,0.9522072
5000,1,900,1,0.716318740802043,0.674712233432675,0.6956,0.9538564,0.95256672
5000,1,900,10,0.708717448591588,0.671111735384562,0.69,0.95430448,0.95301552
5000,1,900,20,0.710717784166728,0.670711680685887,0.6908,0.952674,0.95137248
5000,1,900,30,0.712318054930961,0.668311355181849,0.6904,0.95305608,0.9518152
5000,1,900,40,0.700716138292569,0.669111463171193,0.685,0.95313712,0.95181856
5000,1,900,50,0.711917987047892,0.677512627971497,0.6948,0.9521688,0.950832
5000,1,900,60,0.715118533696641,0.674712233432675,0.695,0.95356672,0.95228
5000,1,900,70,0.709517582437624,0.671111735384562,0.6904,0.95322544,0.95195072
5000,1,900,80,0.70671711621661,0.675512345518046,0.6912,0.95151152,0.95021632
5000,1,900,90,0.717518949059514,0.677912684846192,0.6978,0.95225344,0.95095312
5000,1,900,100,0.709917649552652,0.672711955459269,0.6914,0.95314,0.95188224
5000,1,1000,1,0.708717448591588,0.669511517357866,0.6892,0.95403448,0.95277232
5000,1,1000,10,0.703916656267898,0.682313318915965,0.6932,0.95356232,0.95232688
5000,1,1000,20,0.712718122942036,0.665510981251148,0.6892,0.95418816,0.952916
5000,1,1000,30,0.706317050125633,0.686313908783282,0.6964,0.95280632,0.9515216
5000,1,1000,40,0.705116852620739,0.68431361224959,0.6948,0.9533656,0.9521192
5000,1,1000,50,0.715118533696641,0.665510981251148,0.6904,0.95273296,0.95141312
5000,1,1000,60,0.704316721590839,0.670711680685887,0.6876,0.9534028,0.95209632
5000,1,1000,70,0.703516591072962,0.675512345518046,0.6896,0.95181856,0.95054096
5000,1,1000,80,0.715918671638902,0.676712514606112,0.6964,0.9557168,0.95450272
