"samplesize","run","ntree","nodesize","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,100,1,0.711917987047892,0.697115565362723,0.7046,0.95197488,0.9506272
5000,1,100,10,0.729121021610939,0.68711402829278,0.7082,0.95337376,0.9521176
5000,1,100,20,0.716318740802043,0.697515628509575,0.707,0.95219216,0.95088608
5000,1,100,30,0.720719510045118,0.693515002801257,0.7072,0.95189888,0.95053376
5000,1,100,40,0.715918671638902,0.692714879195644,0.7044,0.95267968,0.95138176
5000,1,100,50,0.715518602603768,0.689514389893351,0.7026,0.95271344,0.95138832
5000,1,100,60,0.715518602603768,0.689914450608125,0.7028,0.95230952,0.95101552
5000,1,100,70,0.718319088537867,0.693114940934449,0.7058,0.95207464,0.95074736
5000,1,100,80,0.711117851665776,0.68391355332686,0.6976,0.95253792,0.95119296
5000,1,100,90,0.712718122942036,0.68791414831429,0.7004,0.9515432,0.95022352
5000,1,100,100,0.716318740802043,0.681113144451819,0.6988,0.95225248,0.9509008
5000,1,200,1,0.713518259348209,0.694315126918885,0.704,0.95120448,0.9498656
5000,1,200,10,0.719119228528252,0.689114329306581,0.7042,0.95323656,0.95194288
5000,1,200,20,0.726720583974583,0.684713671300322,0.7058,0.95286584,0.95160896
5000,1,200,30,0.722719864821389,0.68671396847403,0.7048,0.9531244,0.9518184
5000,1,200,40,0.713118191081119,0.696315439453033,0.7048,0.95218376,0.95086208
5000,1,200,50,0.719119228528252,0.699115882377032,0.7092,0.95227472,0.95096624
5000,1,200,60,0.719519298715456,0.686313908783282,0.703,0.95334864,0.95211136
5000,1,200,70,0.716318740802043,0.690714572421683,0.7036,0.9518384,0.95053616
5000,1,200,80,0.718319088537867,0.68791414831429,0.7032,0.95314792,0.95179472
5000,1,200,90,0.713518259348209,0.692314817584844,0.703,0.95278656,0.95152464
5000,1,200,100,0.709917649552652,0.690714572421683,0.7004,0.9521268,0.95080912
5000,1,300,1,0.721119580744355,0.694715189169706,0.708,0.95198104,0.95068944
5000,1,300,10,0.717518949059514,0.690714572421683,0.7042,0.95108424,0.94972656
5000,1,300,20,0.722719864821389,0.685513789785796,0.7042,0.95211152,0.95077776
5000,1,300,30,0.712718122942036,0.693515002801257,0.7032,0.95217024,0.95085312
5000,1,300,40,0.718319088537867,0.693114940934449,0.7058,0.952412,0.95110592
5000,1,300,50,0.709117515450603,0.685513789785796,0.6974,0.95162968,0.95025904
5000,1,300,60,0.726320511483223,0.685513789785796,0.706,0.95222424,0.95088976
5000,1,300,70,0.70671711621661,0.690714572421683,0.6988,0.95252288,0.9512448
5000,1,300,80,0.732721686706125,0.695915376690194,0.7144,0.95386832,0.95259072
5000,1,300,90,0.723920079223254,0.68831420851705,0.7062,0.95284672,0.95153984
5000,1,300,100,0.709517582437624,0.688714268847814,0.6992,0.95115096,0.94985824
5000,1,400,1,0.720319439473889,0.682713377326685,0.7016,0.9527644,0.95144016
5000,1,400,10,0.73152146385564,0.685513789785796,0.7086,0.9529776,0.95170208
5000,1,400,20,0.723920079223254,0.693114940934449,0.7086,0.95222296,0.95089184
5000,1,400,30,0.720719510045118,0.690314511450902,0.7056,0.95323448,0.95194272
5000,1,400,40,0.718719158469055,0.690314511450902,0.7046,0.952198,0.9509072
5000,1,400,50,0.716718810093193,0.690714572421683,0.7038,0.95189168,0.95055216
5000,1,400,60,0.722719864821389,0.688714268847814,0.7058,0.95127768,0.94990816
5000,1,400,70,0.727520729341331,0.68711402829278,0.7074,0.95302472,0.95176624
5000,1,400,80,0.720719510045118,0.693515002801257,0.7072,0.9517256,0.95043776
5000,1,400,90,0.717919018734687,0.695115251548531,0.7066,0.95435344,0.95307504
5000,1,400,100,0.717518949059514,0.695915376690194,0.7068,0.95353328,0.95225648
5000,1,500,1,0.712318054930961,0.690314511450902,0.7014,0.9528196,0.95154
5000,1,500,10,0.705116852620739,0.702716461067108,0.704,0.952478,0.95120208
5000,1,500,20,0.725520366884531,0.691914756102048,0.7088,0.95308352,0.95180224
5000,1,500,30,0.712318054930961,0.68791414831429,0.7002,0.9521,0.95077136
5000,1,500,40,0.72432015094656,0.686313908783282,0.7054,0.95262512,0.95128704
5000,1,500,50,0.719919369030669,0.693915064796069,0.707,0.95173088,0.95042144
5000,1,500,60,0.721919722526855,0.688714268847814,0.7054,0.9534912,0.95220928
5000,1,500,70,0.718719158469055,0.694715189169706,0.7068,0.95306368,0.95178736
5000,1,500,80,0.709117515450603,0.700716138292569,0.705,0.95231896,0.95104432
5000,1,500,90,0.719119228528252,0.694715189169706,0.707,0.9506136,0.94928768
5000,1,500,100,0.719119228528252,0.693515002801257,0.7064,0.95148368,0.95012048
5000,1,600,1,0.719919369030669,0.679912971139694,0.7,0.95187272,0.9505344
5000,1,600,10,0.717919018734687,0.693515002801257,0.7058,0.95197648,0.9507
5000,1,600,20,0.720319439473889,0.690314511450902,0.7054,0.9525524,0.95127392
5000,1,600,30,0.711917987047892,0.681513202478532,0.6968,0.9519136,0.95054736
5000,1,600,40,0.717518949059514,0.690714572421683,0.7042,0.9526096,0.95132656
5000,1,600,50,0.726320511483223,0.691914756102048,0.7092,0.95203304,0.95071872
5000,1,600,60,0.724720222797874,0.684713671300322,0.7048,0.95259096,0.95127808
5000,1,600,70,0.715118533696641,0.68831420851705,0.7018,0.95178648,0.9504824
5000,1,600,80,0.732721686706125,0.681513202478532,0.7072,0.95294664,0.95160688
5000,1,600,90,0.728720948351523,0.68671396847403,0.7078,0.95339632,0.9520856
5000,1,600,100,0.728720948351523,0.689514389893351,0.7092,0.95411488,0.95283552
5000,1,700,1,0.710317716795686,0.691514694747256,0.701,0.95275424,0.95149424
5000,1,700,10,0.714718464917522,0.68791414831429,0.7014,0.95282984,0.95156608
5000,1,700,20,0.722319793610118,0.68791414831429,0.7052,0.9528664,0.95158288
5000,1,700,30,0.715518602603768,0.692714879195644,0.7042,0.95235648,0.95106064
5000,1,700,40,0.729521094998365,0.697515628509575,0.7136,0.95152928,0.95018672
5000,1,700,50,0.710717784166728,0.690314511450902,0.7006,0.95214168,0.95086864
5000,1,700,60,0.717919018734687,0.680313028782401,0.6992,0.95309712,0.9518056
5000,1,700,70,0.726720583974583,0.685513789785796,0.7062,0.95261248,0.9512912
5000,1,700,80,0.71431839626641,0.696715502343876,0.7056,0.95307984,0.95183248
5000,1,700,90,0.716718810093193,0.687514088239534,0.7022,0.95284616,0.9515152
5000,1,700,100,0.715518602603768,0.689514389893351,0.7026,0.95142976,0.95009312
5000,1,800,1,0.716318740802043,0.697915691784432,0.7072,0.95239296,0.95109872
5000,1,800,10,0.716718810093193,0.684713671300322,0.7008,0.95331144,0.95204944
5000,1,800,20,0.721519651571601,0.689514389893351,0.7056,0.95225216,0.95091744
5000,1,800,30,0.724720222797874,0.690314511450902,0.7076,0.95022192,0.9488272
5000,1,800,40,0.709517582437624,0.691514694747256,0.7006,0.953092,0.95181472
5000,1,800,50,0.721919722526855,0.684713671300322,0.7034,0.95354328,0.9522728
5000,1,800,60,0.720719510045118,0.677912684846192,0.6994,0.95291152,0.9516208
5000,1,800,70,0.71431839626641,0.693114940934449,0.7038,0.95146952,0.95014528
5000,1,800,80,0.730321242157246,0.683113435865407,0.7068,0.95304528,0.95177872
5000,1,800,90,0.72432015094656,0.693515002801257,0.709,0.95336192,0.9520928
5000,1,800,100,0.715918671638902,0.68431361224959,0.7002,0.95215256,0.9508656
5000,1,900,1,0.713118191081119,0.692314817584844,0.7028,0.95220232,0.95085696
5000,1,900,10,0.720319439473889,0.686313908783282,0.7034,0.95179704,0.95049472
5000,1,900,20,0.722719864821389,0.697115565362723,0.71,0.95203616,0.9507216
5000,1,900,30,0.71431839626641,0.705916984162662,0.7102,0.95410792,0.95284912
5000,1,900,40,0.713918327743306,0.68711402829278,0.7006,0.95278776,0.95147184
5000,1,900,50,0.717518949059514,0.685113730479058,0.7014,0.95370312,0.95246976
5000,1,900,60,0.717518949059514,0.68391355332686,0.7008,0.95139632,0.95006944
5000,1,900,70,0.712318054930961,0.689114329306581,0.7008,0.95265368,0.95134432
5000,1,900,80,0.728320875220116,0.685913849220538,0.7072,0.95240048,0.95112112
5000,1,900,90,0.722319793610118,0.693114940934449,0.7078,0.95304496,0.95176928
5000,1,900,100,0.727120656593952,0.691114633520468,0.7092,0.95298888,0.95165184
5000,1,1000,1,0.714718464917522,0.692714879195644,0.7038,0.95225048,0.95093088
5000,1,1000,10,0.715518602603768,0.701516267018369,0.7086,0.95285584,0.95160784
5000,1,1000,20,0.721919722526855,0.695115251548531,0.7086,0.95150712,0.95016016
5000,1,1000,30,0.721919722526855,0.687514088239534,0.7048,0.95276144,0.95141728
5000,1,1000,40,0.718319088537867,0.68711402829278,0.7028,0.95233168,0.95099504
5000,1,1000,50,0.716318740802043,0.691914756102048,0.7042,0.9521564,0.9508544
5000,1,1000,60,0.715118533696641,0.692314817584844,0.7038,0.95311592,0.95184064
5000,1,1000,70,0.716718810093193,0.683113435865407,0.7,0.95232328,0.9510104
5000,1,1000,80,0.713118191081119,0.690714572421683,0.702,0.95220256,0.95090848
5000,1,1000,90,0.724720222797874,0.67511228941136,0.7,0.95117432,0.94985136
5000,1,1000,100,0.725920439119872,0.686313908783282,0.7062,0.95218624,0.950836
5000,2,100,1,0.696715502343876,0.677512627971497,0.6872,0.95163712,0.95037776
5000,2,100,10,0.70831738186058,0.68391355332686,0.6962,0.9503428,0.94901904
5000,2,100,20,0.707517248782582,0.675912401752733,0.6918,0.94991328,0.94858608
5000,2,100,30,0.718719158469055,0.682313318915965,0.7006,0.95007448,0.94876464
5000,2,100,40,0.702716461067108,0.690714572421683,0.6968,0.95054768,0.94927136
5000,2,100,50,0.706317050125633,0.683513494532132,0.695,0.94938368,0.94804432
5000,2,100,60,0.707117182435593,0.672311900248591,0.6898,0.95055328,0.94924512
5000,2,100,70,0.70831738186058,0.671511790211238,0.69,0.9512864,0.94998224
5000,2,100,80,0.707917315257578,0.668311355181849,0.6882,0.95042816,0.94907648
5000,2,100,90,0.708717448591588,0.67511228941136,0.692,0.95119688,0.94987008
5000,2,100,100,0.713918327743306,0.685513789785796,0.6998,0.94971592,0.94838864
5000,2,200,1,0.715918671638902,0.671911845165914,0.694,0.95002576,0.94869872
5000,2,200,10,0.698315755187294,0.673512066264629,0.686,0.9515428,0.95023088
5000,2,200,20,0.703516591072962,0.67951291362499,0.6916,0.95001936,0.94870048
5000,2,200,30,0.693915064796069,0.673112010797949,0.6836,0.95002824,0.94871696
5000,2,200,40,0.711117851665776,0.677112571224804,0.6942,0.94959056,0.94824816
5000,2,200,50,0.712318054930961,0.677512627971497,0.695,0.95084072,0.94949824
5000,2,200,60,0.703916656267898,0.682713377326685,0.6934,0.95058776,0.94931728
5000,2,200,70,0.707517248782582,0.681113144451819,0.6944,0.95065144,0.94935152
5000,2,200,80,0.695915376690194,0.677112571224804,0.6866,0.9510716,0.94977952
5000,2,200,90,0.703516591072962,0.668711409112521,0.6862,0.95076496,0.9494352
5000,2,200,100,0.714718464917522,0.687514088239534,0.7012,0.9515988,0.95031888
5000,2,300,1,0.706317050125633,0.688714268847814,0.6976,0.9505344,0.94918528
5000,2,300,10,0.711117851665776,0.664310822915132,0.6878,0.95177272,0.950452
5000,2,300,20,0.713918327743306,0.67951291362499,0.6968,0.95071112,0.949416
5000,2,300,30,0.70231639625619,0.675512345518046,0.689,0.94994512,0.9486424
5000,2,300,40,0.710717784166728,0.677112571224804,0.694,0.9512916,0.95000032
5000,2,300,50,0.703516591072962,0.680713086553109,0.6922,0.95086648,0.94957952
5000,2,300,60,0.717919018734687,0.681513202478532,0.6998,0.9501384,0.94881024
5000,2,300,70,0.705116852620739,0.68431361224959,0.6948,0.95092872,0.94963072
5000,2,300,80,0.709917649552652,0.682713377326685,0.6964,0.95017496,0.9488656
5000,2,300,90,0.694715189169706,0.68671396847403,0.6908,0.94972752,0.94842592
5000,2,300,100,0.709117515450603,0.681513202478532,0.6954,0.94997824,0.9486312
5000,2,400,1,0.708717448591588,0.689514389893351,0.6992,0.95127536,0.94999184
5000,2,400,10,0.713118191081119,0.683513494532132,0.6984,0.9516948,0.95039696
5000,2,400,20,0.698715818718161,0.679912971139694,0.6894,0.95110704,0.94984272
5000,2,400,30,0.717919018734687,0.690314511450902,0.7042,0.95053392,0.94923824
5000,2,400,40,0.712318054930961,0.671511790211238,0.692,0.95087952,0.94957312
5000,2,400,50,0.705116852620739,0.681113144451819,0.6932,0.95024216,0.94896656
5000,2,400,60,0.716318740802043,0.672311900248591,0.6944,0.95149824,0.95021376
5000,2,400,70,0.692314817584844,0.679112856238288,0.6858,0.94956616,0.94825712
5000,2,400,80,0.696315439453033,0.693114940934449,0.6948,0.94939232,0.948056
5000,2,400,90,0.704316721590839,0.681513202478532,0.693,0.94962968,0.94830672
5000,2,400,100,0.70831738186058,0.67511228941136,0.6918,0.951034,0.94973344
5000,2,500,1,0.703916656267898,0.681913260633247,0.693,0.95015848,0.9488336
5000,2,500,10,0.711117851665776,0.67951291362499,0.6954,0.94988352,0.94859408
5000,2,500,20,0.720719510045118,0.677912684846192,0.6994,0.95067496,0.9493536
5000,2,500,30,0.709117515450603,0.689514389893351,0.6994,0.95136208,0.9500776
5000,2,500,40,0.707917315257578,0.681913260633247,0.695,0.95107768,0.94980608
5000,2,500,50,0.707117182435593,0.667111194157834,0.6872,0.95159808,0.95031728
5000,2,500,60,0.712318054930961,0.669511517357866,0.691,0.95076672,0.94943376
5000,2,500,70,0.705916984162662,0.673112010797949,0.6896,0.95113312,0.94986768
5000,2,500,80,0.70831738186058,0.674712233432675,0.6916,0.95174384,0.95047488
5000,2,500,90,0.711917987047892,0.673112010797949,0.6926,0.95071496,0.9494344
5000,2,500,100,0.701916331573276,0.677512627971497,0.6898,0.95061944,0.949312
5000,2,600,1,0.693114940934449,0.694315126918885,0.6938,0.95054112,0.94926512
5000,2,600,10,0.700316074121677,0.677512627971497,0.689,0.95021032,0.9489032
5000,2,600,20,0.701116202591466,0.68391355332686,0.6926,0.95080992,0.94946112
5000,2,600,30,0.715918671638902,0.67511228941136,0.6956,0.95120232,0.949888
5000,2,600,40,0.700316074121677,0.671911845165914,0.6862,0.9505292,0.94918768
5000,2,600,50,0.706317050125633,0.677912684846192,0.6922,0.949664,0.94835232
5000,2,600,60,0.708717448591588,0.679912971139694,0.6944,0.94909336,0.94775152
5000,2,600,70,0.712318054930961,0.682713377326685,0.6976,0.94986424,0.9485536
5000,2,600,80,0.716718810093193,0.682313318915965,0.6996,0.95040512,0.94912496
5000,2,600,90,0.702716461067108,0.679912971139694,0.6914,0.95135688,0.9500416
5000,2,600,100,0.70671711621661,0.68391355332686,0.6954,0.9498748,0.94854304
5000,2,700,1,0.704316721590839,0.669911571672539,0.6872,0.95109616,0.94981424
5000,2,700,10,0.712718122942036,0.673112010797949,0.693,0.9498392,0.94849984
5000,2,700,20,0.717919018734687,0.668311355181849,0.6932,0.9505356,0.94916048
5000,2,700,30,0.705916984162662,0.676312458115422,0.6912,0.9504768,0.9491352
5000,2,700,40,0.702716461067108,0.683513494532132,0.6932,0.9516672,0.95037792
5000,2,700,50,0.71151791929283,0.677112571224804,0.6944,0.95091952,0.9496008
5000,2,700,60,0.721119580744355,0.671511790211238,0.6964,0.95170648,0.9504008
5000,2,700,70,0.699515946163909,0.680313028782401,0.69,0.95087,0.94958496
5000,2,700,80,0.709917649552652,0.686313908783282,0.6982,0.95158232,0.95032336
5000,2,700,90,0.711117851665776,0.677512627971497,0.6944,0.95070624,0.94938016
5000,2,700,100,0.71151791929283,0.679112856238288,0.6954,0.95195024,0.95068496
5000,2,800,1,0.70671711621661,0.683513494532132,0.6952,0.95133232,0.95004096
5000,2,800,10,0.700716138292569,0.68671396847403,0.6938,0.94944584,0.94812464
5000,2,800,20,0.707517248782582,0.680313028782401,0.694,0.95005424,0.94873632
5000,2,800,30,0.704716787041786,0.671511790211238,0.6882,0.95017896,0.94887456
5000,2,800,40,0.710317716795686,0.68711402829278,0.6988,0.95049496,0.94922112
5000,2,800,50,0.707917315257578,0.675912401752733,0.692,0.9496892,0.94838144
5000,2,800,60,0.70231639625619,0.676712514606112,0.6896,0.95160592,0.95032848
5000,2,800,70,0.713518259348209,0.678312741848888,0.696,0.95107184,0.94974368
5000,2,800,80,0.715518602603768,0.673112010797949,0.6944,0.949408,0.94807152
5000,2,800,90,0.705516918327698,0.683113435865407,0.6944,0.95064576,0.94935104
5000,2,800,100,0.709117515450603,0.679912971139694,0.6946,0.95117,0.94988144
5000,2,900,1,0.719119228528252,0.666711140739162,0.693,0.94990784,0.94856336
5000,2,900,10,0.701916331573276,0.681913260633247,0.692,0.9506852,0.94938976
5000,2,900,20,0.717919018734687,0.676312458115422,0.6972,0.94926336,0.94788624
5000,2,900,30,0.710717784166728,0.687514088239534,0.6992,0.95133696,0.95006256
5000,2,900,40,0.705116852620739,0.685113730479058,0.6952,0.94918216,0.94780592
5000,2,900,50,0.69991601007879,0.677912684846192,0.689,0.95000536,0.9486928
5000,2,900,60,0.704316721590839,0.686313908783282,0.6954,0.9512552,0.94995632
5000,2,900,70,0.704716787041786,0.673512066264629,0.6892,0.95111456,0.94977904
5000,2,900,80,0.698315755187294,0.681913260633247,0.6902,0.95052856,0.94920064
5000,2,900,90,0.710717784166728,0.669911571672539,0.6904,0.94975512,0.94842272
5000,2,900,100,0.71711887951235,0.673912121859309,0.6956,0.9492792,0.94792032
5000,2,1000,1,0.714718464917522,0.677912684846192,0.6964,0.95060896,0.94930112
5000,2,1000,10,0.699515946163909,0.671911845165914,0.6858,0.95054992,0.94920784
5000,2,1000,20,0.710717784166728,0.681113144451819,0.696,0.94999392,0.94869664
5000,2,1000,30,0.711917987047892,0.674712233432675,0.6934,0.95015968,0.94886864
5000,2,1000,40,0.697915691784432,0.675912401752733,0.687,0.95009536,0.94879056
5000,2,1000,50,0.701916331573276,0.681113144451819,0.6916,0.95028104,0.94898736
5000,2,1000,60,0.69991601007879,0.68671396847403,0.6934,0.94975736,0.94842128
5000,2,1000,70,0.706317050125633,0.688714268847814,0.6976,0.95150832,0.95022896
5000,2,1000,80,0.709517582437624,0.671911845165914,0.6908,0.95026744,0.94891616
5000,2,1000,90,0.710317716795686,0.677112571224804,0.6938,0.95027736,0.94898896
5000,2,1000,100,0.710317716795686,0.689914450608125,0.7002,0.95034024,0.94903296
5000,3,100,1,0.709117515450603,0.70231639625619,0.7058,0.95024232,0.9489408
5000,3,100,10,0.723920079223254,0.705516918327698,0.7148,0.951022,0.9497248
5000,3,100,20,0.707117182435593,0.713918327743306,0.7106,0.94988592,0.94855856
5000,3,100,30,0.719119228528252,0.704316721590839,0.7118,0.9511076,0.94981744
5000,3,100,40,0.707917315257578,0.699515946163909,0.7038,0.95047224,0.94914448
5000,3,100,50,0.716318740802043,0.707917315257578,0.7122,0.94988712,0.94857424
5000,3,100,60,0.725520366884531,0.705116852620739,0.7154,0.94969176,0.9483568
5000,3,100,70,0.722319793610118,0.698315755187294,0.7104,0.95196984,0.95072064
5000,3,100,80,0.720319439473889,0.700716138292569,0.7106,0.95113416,0.94980688
5000,3,100,90,0.718719158469055,0.690314511450902,0.7046,0.94914192,0.9478304
5000,3,100,100,0.722719864821389,0.700316074121677,0.7116,0.9513728,0.95006816
5000,3,200,1,0.718319088537867,0.695515314055361,0.707,0.95033536,0.94904496
5000,3,200,10,0.713918327743306,0.704316721590839,0.7092,0.95067088,0.9494048
5000,3,200,20,0.719519298715456,0.700316074121677,0.71,0.94978024,0.9484128
5000,3,200,30,0.719119228528252,0.706317050125633,0.7128,0.95042216,0.94914544
5000,3,200,40,0.716318740802043,0.704316721590839,0.7104,0.94997856,0.94865856
5000,3,200,50,0.710317716795686,0.707917315257578,0.7092,0.95125512,0.94997344
5000,3,200,60,0.710317716795686,0.705916984162662,0.7082,0.94978048,0.94849152
5000,3,200,70,0.71431839626641,0.707917315257578,0.7112,0.94930176,0.94794448
5000,3,200,80,0.719519298715456,0.699515946163909,0.7096,0.95069048,0.94941568
5000,3,200,90,0.713118191081119,0.70831738186058,0.7108,0.94842872,0.94704496
5000,3,200,100,0.711917987047892,0.710717784166728,0.7114,0.95094808,0.94967136
5000,3,300,1,0.714718464917522,0.709917649552652,0.7124,0.94923912,0.94790704
5000,3,300,10,0.719919369030669,0.703116526006033,0.7116,0.95118256,0.94991008
5000,3,300,20,0.718719158469055,0.69991601007879,0.7094,0.94976504,0.94841536
5000,3,300,30,0.721919722526855,0.69991601007879,0.711,0.94917656,0.9478296
5000,3,300,40,0.717518949059514,0.713518259348209,0.7156,0.95100432,0.94970864
5000,3,300,50,0.707117182435593,0.70831738186058,0.7078,0.94923792,0.9479104
5000,3,300,60,0.716318740802043,0.698715818718161,0.7076,0.94935024,0.94800608
5000,3,300,70,0.715518602603768,0.696715502343876,0.7062,0.94998696,0.9486608
5000,3,300,80,0.713918327743306,0.693915064796069,0.704,0.95076904,0.94949376
5000,3,300,90,0.709517582437624,0.697915691784432,0.7038,0.95065384,0.94936912
5000,3,300,100,0.715118533696641,0.705516918327698,0.7104,0.95001256,0.94873152
5000,3,400,1,0.709917649552652,0.707917315257578,0.709,0.95086968,0.9496216
5000,3,400,10,0.715918671638902,0.703116526006033,0.7096,0.95095496,0.94960224
5000,3,400,20,0.713918327743306,0.700716138292569,0.7074,0.95012,0.94877472
5000,3,400,30,0.716318740802043,0.703116526006033,0.7098,0.95155616,0.95026352
5000,3,400,40,0.713118191081119,0.701116202591466,0.7072,0.95187808,0.95059664
5000,3,400,50,0.71431839626641,0.704716787041786,0.7096,0.95025256,0.94895872
5000,3,400,60,0.714718464917522,0.704316721590839,0.7096,0.95121008,0.94991552
5000,3,400,70,0.715518602603768,0.703116526006033,0.7094,0.95016856,0.94883456
5000,3,400,80,0.715918671638902,0.701916331573276,0.709,0.94941656,0.94808656
5000,3,400,90,0.716718810093193,0.703116526006033,0.71,0.95048504,0.94918816
5000,3,400,100,0.713518259348209,0.709517582437624,0.7116,0.95155712,0.95032064
5000,3,500,1,0.717919018734687,0.705916984162662,0.712,0.95010632,0.94880992
5000,3,500,10,0.711917987047892,0.701516267018369,0.7068,0.94928544,0.94794592
5000,3,500,20,0.721119580744355,0.693114940934449,0.7072,0.9507044,0.9494344
5000,3,500,30,0.716318740802043,0.700716138292569,0.7086,0.95095776,0.94965952
5000,3,500,40,0.715918671638902,0.703516591072962,0.7098,0.9503404,0.94902896
5000,3,500,50,0.715118533696641,0.704316721590839,0.7098,0.95040304,0.94906064
5000,3,500,60,0.706317050125633,0.701516267018369,0.704,0.95041256,0.94914064
5000,3,500,70,0.722319793610118,0.697515628509575,0.71,0.9503812,0.94910768
5000,3,500,80,0.71711887951235,0.692714879195644,0.705,0.95066704,0.9493432
5000,3,500,90,0.715518602603768,0.696715502343876,0.7062,0.9503112,0.94896352
5000,3,500,100,0.716718810093193,0.70231639625619,0.7096,0.95007608,0.94877504
5000,3,600,1,0.709117515450603,0.693515002801257,0.7014,0.95016784,0.9488552
5000,3,600,10,0.71711887951235,0.704316721590839,0.7108,0.95132352,0.95003936
5000,3,600,20,0.713118191081119,0.701916331573276,0.7076,0.95187072,0.95060048
5000,3,600,30,0.71151791929283,0.694715189169706,0.7032,0.9485416,0.94718
5000,3,600,40,0.716718810093193,0.701916331573276,0.7094,0.94995872,0.94864368
5000,3,600,50,0.725920439119872,0.695115251548531,0.7106,0.95176872,0.95051376
5000,3,600,60,0.723119936160668,0.695515314055361,0.7094,0.94926624,0.94794464
5000,3,600,70,0.717518949059514,0.69991601007879,0.7088,0.95125696,0.94995904
5000,3,600,80,0.710317716795686,0.699515946163909,0.705,0.95024752,0.94895552
5000,3,600,90,0.72432015094656,0.703516591072962,0.714,0.95005392,0.94874944
5000,3,600,100,0.717518949059514,0.705916984162662,0.7118,0.95010808,0.94882096
5000,3,700,1,0.717919018734687,0.707117182435593,0.7126,0.95018136,0.94885616
5000,3,700,10,0.716718810093193,0.700716138292569,0.7088,0.94917176,0.94784032
5000,3,700,20,0.725520366884531,0.707117182435593,0.7164,0.95113656,0.94984864
5000,3,700,30,0.71711887951235,0.703116526006033,0.7102,0.95126464,0.94997968
5000,3,700,40,0.715518602603768,0.705116852620739,0.7104,0.9495068,0.94820576
5000,3,700,50,0.71151791929283,0.701516267018369,0.7066,0.95031976,0.94903696
5000,3,700,60,0.707117182435593,0.70231639625619,0.7048,0.95002672,0.94869024
5000,3,700,70,0.717919018734687,0.694715189169706,0.7064,0.9511724,0.94986048
5000,3,700,80,0.714718464917522,0.696715502343876,0.7058,0.95037552,0.9490752
5000,3,700,90,0.705916984162662,0.701516267018369,0.7038,0.94920096,0.94781488
5000,3,700,100,0.713918327743306,0.713118191081119,0.7136,0.95093864,0.94961824
