"SampleSize","Run","ActivationFunction","Prior","TPR","TNR","Accuracy","AUC","Concordance"
20000,1,sigmoidUnit,0.5,0.6256,0.8244,0.725,0.796175170000002,0.79617517
20000,1,softplusUnit,0.5,0.7035,0.711,0.70725,0.773291509999986,0.77329151
20000,1,sigmoidUnit,0.5,0.6844,0.7658,0.7251,0.79715478,0.79715478
20000,1,softplusUnit,0.5,0.6796,0.7324,0.706,0.773005459999995,0.77300546
20000,1,softmaxUnit,0.5,0.6887,0.7569,0.7228,0.789910710000007,0.78991071
20000,2,sigmoidUnit,0.5,0.6806,0.7729,0.72675,0.799585055000002,0.79958505
20000,2,softplusUnit,0.5,0.7004,0.7338,0.7171,0.783906274999999,0.78390627
20000,2,softmaxUnit,0.5,0.6774,0.7849,0.73115,0.790041205,0.7900412
25000,1,sigmoidUnit,0.5,0.64896,0.81536,0.73216,0.801390873600006,0.8013908736
25000,1,softplusUnit,0.5,0.6688,0.74848,0.70864,0.750650790400001,0.7506507904
25000,1,softmaxUnit,0.5,0.6476,0.81184,0.72972,0.795915763200011,0.7959157632
25000,2,sigmoidUnit,0.5,0.62968,0.82952,0.7296,0.799683027199999,0.7996830272
25000,2,softplusUnit,0.5,0.61944,0.77184,0.69564,0.756756294399999,0.7567562944
25000,2,softmaxUnit,0.5,0.67128,0.77992,0.7256,0.7921046784,0.7921046784
30000,1,sigmoidUnit,0.5,0.604466666666667,0.837866666666667,0.721166666666667,0.788516588888888,0.788516586666667
30000,1,softplusUnit,0.5,0.5932,0.806266666666667,0.699733333333333,0.716829291111108,0.716829288888889
30000,1,softmaxUnit,0.5,0.656,0.7822,0.7191,0.782898651111108,0.782898648888889
30000,2,sigmoidUnit,0.5,0.633,0.819066666666667,0.726033333333333,0.793138360000004,0.793138351111111
30000,2,softplusUnit,0.5,0.663933333333333,0.738133333333333,0.701033333333333,0.762545066666671,0.762545057777778
30000,2,softmaxUnit,0.5,0.678133333333333,0.765333333333333,0.721733333333333,0.78549195555556,0.785491946666667
35000,1,sigmoidUnit,0.5,0.623714285714286,0.820742857142857,0.722228571428571,0.79118487836735,0.791184878367347
35000,1,softplusUnit,0.5,0.556971428571429,0.833028571428571,0.695,0.749228708571426,0.749228708571429
35000,1,softmaxUnit,0.5,0.670685714285714,0.770285714285714,0.720485714285714,0.788875879183681,0.788875879183674
35000,2,sigmoidUnit,0.5,0.642685714285714,0.800057142857143,0.721371428571429,0.790231293061218,0.790231291428571
