"Objective Parm","samplesize","run","TPR","TNR","Accuracy","AUC","Concordance"
binary:logistic,10000,1,0.7214,0.8354,0.7784,0.85237536,0.851912
binary:logistic,10000,2,0.746,0.8084,0.7772,0.86006282,0.85971156
binary:logistic,10000,3,0.7344,0.8218,0.7781,0.86077984,0.86054792
binary:logistic,10000,4,0.7184,0.8372,0.7778,0.85345436,0.85235012
binary:logistic,10000,5,0.7308,0.8314,0.7811,0.86007612,0.85928132
binary:logistic,10000,6,0.724,0.8202,0.7721,0.85312688,0.85211044
binary:logistic,10000,7,0.7388,0.8106,0.7747,0.85764654,0.857439
binary:logistic,10000,8,0.7434,0.821,0.7822,0.86009146,0.8589046
binary:logistic,10000,9,0.7212,0.8244,0.7728,0.85456398,0.85418832
binary:logistic,10000,10,0.7264,0.8224,0.7744,0.85599342,0.85552956
binary:logistic,11000,1,0.720181818181818,0.817636363636364,0.768909090909091,0.849624859504132,0.849023867768595
binary:logistic,11000,2,0.725818181818182,0.819272727272727,0.772545454545455,0.85401920661157,0.853409884297521
binary:logistic,11000,3,0.721272727272727,0.830727272727273,0.776,0.852806462809917,0.85256479338843
binary:logistic,11000,4,0.732363636363636,0.820181818181818,0.776272727272727,0.857742876033058,0.857275173553719
binary:logistic,11000,5,0.715090909090909,0.821818181818182,0.768454545454546,0.85411452892562,0.852915933884298
binary:logistic,11000,6,0.734,0.818,0.776,0.85762320661157,0.857291933884297
binary:logistic,11000,7,0.720727272727273,0.818181818181818,0.769454545454546,0.855531421487603,0.855116859504132
binary:logistic,11000,8,0.718909090909091,0.823272727272727,0.771090909090909,0.852498595041322,0.851575041322314
binary:logistic,11000,9,0.727818181818182,0.819272727272727,0.773545454545455,0.852928198347107,0.852257090909091
binary:logistic,11000,10,0.730363636363636,0.824909090909091,0.777636363636364,0.856516231404959,0.856026016528926
binary:logistic,12000,1,0.737,0.814833333333333,0.775916666666667,0.858489819444444,0.857270472222222
binary:logistic,12000,2,0.728833333333333,0.806666666666667,0.76775,0.852565527777778,0.852119333333333
binary:logistic,12000,3,0.709833333333333,0.817333333333333,0.763583333333333,0.845266083333333,0.844579
binary:logistic,12000,4,0.720333333333333,0.811666666666667,0.766,0.848298541666667,0.847888083333333
binary:logistic,12000,5,0.7335,0.807166666666667,0.770333333333333,0.853419777777778,0.852888027777778
binary:logistic,12000,6,0.719166666666667,0.814166666666667,0.766666666666667,0.850282527777778,0.849760805555556
binary:logistic,12000,7,0.7195,0.827333333333333,0.773416666666667,0.853634986111111,0.853369777777778
binary:logistic,12000,8,0.718333333333333,0.834166666666667,0.77625,0.854014388888889,0.853211
binary:logistic,12000,9,0.726833333333333,0.815,0.770916666666667,0.850011416666667,0.849317027777778
binary:logistic,12000,10,0.733333333333333,0.7935,0.763416666666667,0.850566611111111,0.850185555555556
binary:logistic,13000,1,0.718615384615385,0.804615384615385,0.761615384615385,0.842904071005917,0.84238549112426
binary:logistic,13000,2,0.716,0.819538461538462,0.767769230769231,0.850571881656805,0.850291360946746
binary:logistic,13000,3,0.719076923076923,0.809692307692308,0.764384615384615,0.845617775147929,0.844916331360947
binary:logistic,13000,4,0.709846153846154,0.815846153846154,0.762846153846154,0.845998319526627,0.845707597633136
binary:logistic,13000,5,0.717384615384615,0.813846153846154,0.765615384615385,0.848727952662722,0.848290319526627
binary:logistic,13000,6,0.744461538461539,0.789384615384615,0.766923076923077,0.852594224852071,0.851824544378698
binary:logistic,13000,7,0.718615384615385,0.818461538461538,0.768538461538462,0.85148450887574,0.850915124260355
binary:logistic,13000,8,0.727384615384615,0.815076923076923,0.771230769230769,0.848955029585799,0.848594721893491
binary:logistic,13000,9,0.725846153846154,0.806461538461538,0.766153846153846,0.848066710059172,0.847757917159763
binary:logistic,13000,10,0.728,0.806461538461538,0.767230769230769,0.848459420118343,0.848135100591716
binary:logistic,14000,1,0.718,0.801285714285714,0.759642857142857,0.842926173469388,0.842213918367347
binary:logistic,14000,2,0.720428571428571,0.809142857142857,0.764785714285714,0.848568244897959,0.847966795918367
binary:logistic,14000,3,0.705857142857143,0.824571428571429,0.765214285714286,0.844898081632653,0.844177673469388
binary:logistic,14000,4,0.709285714285714,0.807571428571429,0.758428571428571,0.841417357142857,0.840788612244898
binary:logistic,14000,5,0.715714285714286,0.810857142857143,0.763285714285714,0.843847581632653,0.843064265306122
binary:logistic,14000,6,0.723428571428571,0.801142857142857,0.762285714285714,0.84288043877551,0.841781591836735
binary:logistic,14000,7,0.715142857142857,0.806571428571429,0.760857142857143,0.845153785714286,0.844690183673469
binary:logistic,14000,8,0.710857142857143,0.813285714285714,0.762071428571429,0.843638132653061,0.842835489795918
binary:logistic,14000,9,0.726142857142857,0.799428571428571,0.762785714285714,0.844424704081633,0.843417
binary:logistic,14000,10,0.714428571428571,0.81,0.762214285714286,0.844295734693878,0.844008591836735
binary:logistic,15000,1,0.718133333333333,0.8032,0.760666666666667,0.844860026666667,0.844417511111111
binary:logistic,15000,2,0.737333333333333,0.801066666666667,0.7692,0.848363297777778,0.847789653333333
binary:logistic,15000,3,0.727333333333333,0.797866666666667,0.7626,0.84443272,0.843991484444444
binary:logistic,15000,4,0.708666666666667,0.811866666666667,0.760266666666667,0.846488471111111,0.845495484444444
binary:logistic,15000,5,0.713733333333333,0.8012,0.757466666666667,0.841836497777778,0.841513031111111
binary:logistic,15000,6,0.7188,0.808533333333333,0.763666666666667,0.847062986666667,0.846081048888889
binary:logistic,15000,7,0.722133333333333,0.799466666666667,0.7608,0.84341104,0.843061528888889
binary:logistic,15000,8,0.7184,0.7956,0.757,0.841288,0.840853351111111
binary:logistic,15000,9,0.716933333333333,0.819733333333333,0.768333333333333,0.848348204444444,0.847048764444444
binary:logistic,15000,10,0.7128,0.810266666666667,0.761533333333333,0.845303786666667,0.845058666666667
binary:logistic,16000,1,0.7255,0.7955,0.7605,0.84281846875,0.842034
binary:logistic,16000,2,0.706,0.804125,0.7550625,0.8363623046875,0.835550515625
binary:logistic,16000,3,0.701,0.80925,0.755125,0.839929171875,0.8394429375
binary:logistic,16000,4,0.715375,0.80075,0.7580625,0.840219265625,0.83910665625
binary:logistic,16000,5,0.724875,0.79425,0.7595625,0.843701,0.8433335625
