"samplesize","run","nu","AUC","Concordance"
5000,1,0.1,0.770375200000002,77.03752
5000,1,0.4,0.787728160000002,78.772816
5000,1,0.7,0.798572959999998,79.857296
5000,1,1,0.80774736,80.774736
5000,1,1.5,0.821452480000003,82.145248
5000,1,3,0.843195040000005,84.319504
5000,1,5,0.858279679999999,85.827968
5000,1,10,0.876034879999995,87.603488
5000,1,20,0.896114719999999,89.611472
6000,1,0.1,0.767945888888887,76.7945888888889
6000,1,0.1,0.776660944444442,77.6660888888889
6000,1,0.4,0.795436611111113,79.5436555555556
6000,1,0.7,0.805915055555559,80.5915
6000,1,1,0.813875055555558,81.3875
6000,1,1.5,0.824131055555554,82.4131
6000,1,3,0.841281611111115,84.1281555555556
6000,1,5,0.853812722222223,85.3812666666667
6000,1,10,0.87239761111111,87.2397555555555
6000,1,20,0.889141944444459,88.9141888888889
7000,1,0.1,0.784499755102044,78.4499755102041
7000,1,0.4,0.797898857142862,79.7898857142857
7000,1,0.7,0.805238938775512,80.523893877551
7000,1,1,0.812738857142859,81.2738857142857
7000,1,1.5,0.822369387755104,82.2369387755102
7000,1,3,0.840308653061228,84.0308653061225
7000,1,5,0.853730204081635,85.3730204081633
7000,1,10,0.871364489795923,87.1364489795918
7000,1,20,0.888525469387762,88.8525469387755
8000,1,0.1,0.776179625000002,77.6179625
8000,1,0.4,0.792974249999999,79.297425
8000,1,0.7,0.801617500000005,80.16175
8000,1,1,0.808553375000002,80.8553375
8000,1,1.5,0.817999000000001,81.7999
8000,1,3,0.836360062500005,83.63600625
8000,1,5,0.850092062499997,85.00920625
8000,1,10,0.868458500000005,86.84585
8000,1,20,0.884644124999991,88.4644125
9000,1,0.1,0.776864691358025,77.6864691358025
9000,1,0.4,0.792512246913585,79.251224691358
9000,1,0.7,0.802232691358028,80.2232691358025
9000,1,1,0.809768049382717,80.9768049382716
9000,1,1.5,0.820300444444442,82.0300444444445
9000,1,3,0.839049629629627,83.904962962963
9000,1,5,0.851459506172845,85.1459506172839
9000,1,10,0.868380938271605,86.8380938271605
9000,1,20,0.885665827160494,88.5665827160494
10000,1,0.1,0.7687478,76.874776
10000,1,0.4,0.782533919999998,78.253388
10000,1,0.7,0.79095236,79.095232
10000,1,1,0.797639239999995,79.76392
10000,1,1.5,0.808737760000004,80.873772
10000,1,3,0.826654159999998,82.665412
10000,1,5,0.840967360000001,84.096732
10000,1,10,0.858332559999999,85.833252
10000,1,20,0.875066079999999,87.506604
11000,1,0.1,0.770171900826447,77.0171900826446
11000,1,0.4,0.785609388429748,78.5609388429752
11000,1,0.7,0.794399669421489,79.4399669421488
11000,1,1,0.800875471074376,80.087547107438
11000,1,1.5,0.809177752066113,80.9177752066116
11000,1,3,0.826013057851241,82.601305785124
11000,1,5,0.839011603305783,83.9011603305785
11000,1,10,0.855678181818186,85.5678181818182
11000,1,20,0.870771966942148,87.0771966942149
12000,1,0.1,0.778410833333331,77.8410833333333
12000,1,0.4,0.792382027777777,79.2382027777778
12000,1,0.7,0.800863444444441,80.0863444444444
12000,1,1,0.807444972222221,80.7444972222222
12000,1,1.5,0.816140833333332,81.6140833333333
12000,1,3,0.832420972222227,83.2420972222222
12000,1,5,0.844868222222224,84.4868222222222
12000,1,10,0.861106055555552,86.1106055555556
12000,1,20,0.877210944444441,87.7210944444444
13000,1,0.1,0.777657573964498,77.7657562130178
13000,1,0.4,0.790193976331357,79.0193964497041
13000,1,0.7,0.797804674556216,79.7804662721894
13000,1,1,0.803369881656806,80.3369869822485
13000,1,1.5,0.811259301775149,81.1259289940828
13000,1,3,0.826224461538463,82.6224449704142
13000,1,5,0.838340698224852,83.8340686390532
13000,1,10,0.855685621301769,85.5685609467456
13000,1,20,0.8720185443787,87.2018532544379
14000,1,0.1,0.777383836734696,77.7383836734694
14000,1,0.4,0.790323612244899,79.0323612244898
14000,1,0.7,0.797733775510203,79.7733775510204
14000,1,1,0.803541816326529,80.3541816326531
14000,1,1.5,0.811798877551023,81.179887755102
14000,1,3,0.827437163265307,82.7437163265306
14000,1,5,0.839297795918362,83.9297795918367
14000,1,10,0.856182448979593,85.6182448979592
14000,1,20,0.871404836734698,87.1404836734694
15000,1,0.1,0.771676071111107,77.1676071111111
15000,1,0.4,0.785966239999995,78.596624
15000,1,0.7,0.793747164444438,79.3747164444444
15000,1,1,0.800350968888884,80.0350968888889
15000,1,1.5,0.809470506666669,80.9470506666667
15000,1,3,0.825816177777772,82.5816177777778
15000,1,5,0.838459039999995,83.845904
15000,1,10,0.854084124444433,85.4084124444445
15000,1,20,0.870375359999975,87.037536
