"samplesize","run","shrinkage","LossFunc","Predictors","OptNumTrees","TPR","TNR","Accuracy","AUC","Concordance"
5000,1,0.001,bernoulli,37,15385,0.7768,0.698,0.7374,0.821424639999997,0.82142464
5000,1,0.001,adaboost,37,10472,0.7732,0.6816,0.7274,0.81139184,0.81139184
5000,1,0.01,bernoulli,37,1986,0.7876,0.7016,0.7446,0.827820479999997,0.82782032
5000,1,0.01,adaboost,37,1027,0.7744,0.6752,0.7248,0.81109824,0.8110976
5000,1,0.02,bernoulli,37,549,0.772,0.692,0.732,0.813580879999998,0.81357808
5000,1,0.02,adaboost,37,382,0.7704,0.6792,0.7248,0.806590159999999,0.80658704
5000,1,0.03,bernoulli,37,566,0.7816,0.6952,0.7384,0.823356719999996,0.82335456
5000,1,0.03,adaboost,37,344,0.7784,0.6768,0.7276,0.809777599999997,0.80976784
5000,1,0.04,bernoulli,37,315,0.7716,0.6932,0.7324,0.81536088,0.81535504
5000,1,0.04,adaboost,35,232,0.7752,0.6776,0.7264,0.809184640000002,0.8091736
5000,1,0.05,bernoulli,36,366,0.7804,0.6924,0.7364,0.82288,0.82287568
5000,1,0.05,adaboost,37,205,0.7724,0.6812,0.7268,0.809636399999999,0.809612
5000,1,0.06,bernoulli,37,322,0.778,0.7024,0.7402,0.825071359999999,0.82506912
5000,1,0.06,adaboost,35,165,0.7784,0.6764,0.7274,0.808915040000002,0.80886464
5000,1,0.07,bernoulli,37,239,0.7752,0.6968,0.736,0.820688240000002,0.82068304
5000,1,0.07,adaboost,35,140,0.7792,0.6692,0.7242,0.806810879999998,0.80678352
5000,1,0.08,bernoulli,37,222,0.772,0.7032,0.7376,0.820692319999996,0.82068192
5000,1,0.08,adaboost,32,81,0.7676,0.6756,0.7216,0.802481359999999,0.8023184
5000,1,0.09,bernoulli,33,89,0.7696,0.6816,0.7256,0.805717760000002,0.80568832
5000,1,0.09,adaboost,34,83,0.7784,0.6696,0.724,0.804323279999999,0.80411824
5000,1,0.1,bernoulli,36,133,0.7784,0.6908,0.7346,0.81456448,0.81453248
5000,1,0.1,adaboost,33,98,0.7688,0.6928,0.7308,0.807147440000001,0.80709072
5000,2,0.001,bernoulli,37,13494,0.7736,0.6844,0.729,0.815569919999998,0.81556992
5000,2,0.001,adaboost,37,15493,0.7712,0.6804,0.7258,0.815820319999998,0.81582032
5000,2,0.01,bernoulli,37,1391,0.7752,0.6876,0.7314,0.81563888,0.81563872
5000,2,0.01,adaboost,37,1537,0.7732,0.6828,0.728,0.81593704,0.81593696
5000,2,0.02,bernoulli,37,542,0.7684,0.6828,0.7256,0.8101404,0.81013984
5000,2,0.02,adaboost,37,617,0.7672,0.6796,0.7234,0.810667119999997,0.8106656
5000,2,0.03,bernoulli,37,556,0.7724,0.6916,0.732,0.819626319999997,0.81962592
5000,2,0.03,adaboost,36,354,0.7676,0.6788,0.7232,0.807720879999996,0.80771824
5000,2,0.04,bernoulli,36,341,0.7752,0.6864,0.7308,0.814332079999996,0.81432928
5000,2,0.04,adaboost,36,350,0.7704,0.684,0.7272,0.812673999999999,0.81266976
5000,2,0.05,bernoulli,35,179,0.7728,0.6736,0.7232,0.804968319999998,0.8049544
5000,2,0.05,adaboost,37,242,0.772,0.6732,0.7226,0.808999199999999,0.80899488
5000,2,0.06,bernoulli,34,132,0.7656,0.6756,0.7206,0.8032092,0.80315536
5000,2,0.06,adaboost,37,198,0.7724,0.6716,0.722,0.809017039999997,0.80901104
5000,2,0.07,bernoulli,35,185,0.7724,0.6768,0.7246,0.812124639999995,0.81209024
5000,2,0.07,adaboost,37,140,0.7688,0.6844,0.7266,0.806593759999999,0.80651008
5000,2,0.08,bernoulli,35,157,0.7672,0.6888,0.728,0.8126608,0.81262912
5000,2,0.08,adaboost,37,173,0.7804,0.6704,0.7254,0.811816639999998,0.81180096
5000,2,0.09,bernoulli,33,98,0.7792,0.668,0.7236,0.803697280000001,0.80366672
5000,2,0.09,adaboost,30,95,0.7664,0.674,0.7202,0.80278224,0.8027104
5000,2,0.1,bernoulli,32,81,0.7684,0.678,0.7232,0.804925439999999,0.80487168
5000,2,0.1,adaboost,35,138,0.7716,0.6784,0.725,0.810925759999998,0.81090208
5000,3,0.001,bernoulli,37,12208,0.7612,0.684,0.7226,0.805783680000002,0.80578352
5000,3,0.001,adaboost,37,8957,0.7632,0.6624,0.7128,0.79807048,0.79807024
5000,3,0.01,bernoulli,37,1190,0.7604,0.6756,0.718,0.804365200000003,0.80436464
5000,3,0.01,adaboost,37,886,0.7648,0.6612,0.713,0.797697599999998,0.79769664
5000,3,0.02,bernoulli,37,470,0.758,0.6768,0.7174,0.800085359999997,0.8000816
5000,3,0.02,adaboost,37,448,0.762,0.662,0.712,0.797425280000001,0.79742144
5000,3,0.03,bernoulli,37,262,0.766,0.6688,0.7174,0.79791952,0.7978976
5000,3,0.03,adaboost,35,251,0.7672,0.6568,0.712,0.795330640000001,0.79531328
5000,3,0.04,bernoulli,36,394,0.7636,0.6832,0.7234,0.809148080000002,0.8091456
5000,3,0.04,adaboost,34,163,0.7664,0.6556,0.711,0.792927119999998,0.79287536
