"samplesize","run","coeflearn","TPR","TNR","Accuracy","CVAccuracy","AUC","Concordance"
5000,1,Breiman,0.7964,0.6784,0.7374,0.7202,0.823187679999999,0.82316528
5000,1,Freund,0.7888,0.7296,0.7592,0.7178,0.84495096,0.84494592
5000,1,Zhu,0.7956,0.7232,0.7594,0.7182,0.844855759999996,0.84485184
5000,2,Breiman,0.762,0.7028,0.7324,0.7,0.818690479999996,0.81867728
5000,2,Freund,0.798,0.7084,0.7532,0.702,0.840354640000002,0.84034704
5000,2,Zhu,0.7732,0.7204,0.7468,0.7,0.830888799999998,0.830876
5000,3,Breiman,0.7572,0.69,0.7236,0.693,0.810009999999997,0.80999264
5000,3,Freund,0.7948,0.692,0.7434,0.6818,0.828684159999999,0.82867968
5000,3,Zhu,0.7812,0.6932,0.7372,0.6932,0.825101439999998,0.8250832
5000,4,Breiman,0.7856,0.678,0.7318,0.6996,0.818465200000003,0.8184536
5000,4,Freund,0.7824,0.6876,0.735,0.692,0.819080239999994,0.81907456
5000,4,Zhu,0.7884,0.6716,0.73,0.6942,0.813679999999996,0.81366848
5000,5,Breiman,0.7772,0.6872,0.7322,0.7026,0.808552559999998,0.80850336
5000,5,Freund,0.79,0.682,0.736,0.7012,0.81910632,0.81909952
5000,5,Zhu,0.7784,0.7112,0.7448,0.6998,0.819667199999997,0.81965824
6000,1,Breiman,0.785,0.664333333333333,0.724666666666667,0.703166666666667,0.811898444444446,0.811869333333333
6000,1,Freund,0.774666666666667,0.693666666666667,0.734166666666667,0.699,0.816504666666664,0.816485555555556
6000,1,Zhu,0.800666666666667,0.676,0.738333333333333,0.695666666666667,0.823531833333333,0.823520333333333
6000,2,Breiman,0.756666666666667,0.718,0.737333333333333,0.7095,0.825613166666663,0.825601111111111
6000,2,Freund,0.769666666666667,0.708333333333333,0.739,0.7005,0.823568777777776,0.823559777777778
6000,2,Zhu,0.747333333333333,0.709,0.728166666666667,0.697,0.819606333333333,0.819600444444444
6000,3,Breiman,0.768,0.681,0.7245,0.699166666666667,0.804837499999998,0.804822333333333
6000,3,Freund,0.775333333333333,0.703,0.739166666666667,0.7015,0.826771444444444,0.826757444444444
6000,3,Zhu,0.792333333333333,0.693333333333333,0.742833333333333,0.698666666666667,0.825687999999998,0.825675666666667
6000,4,Breiman,0.763,0.691,0.727,0.704833333333333,0.809805388888891,0.809789666666667
6000,4,Freund,0.753,0.718333333333333,0.735666666666667,0.698833333333333,0.822243333333333,0.822233888888889
6000,4,Zhu,0.777666666666667,0.702,0.739833333333333,0.697,0.826516277777776,0.826508888888889
6000,5,Breiman,0.763333333333333,0.661333333333333,0.712333333333333,0.692666666666667,0.796151333333332,0.796123777777778
6000,5,Freund,0.771666666666667,0.675333333333333,0.7235,0.686166666666667,0.807822611111112,0.807813111111111
6000,5,Zhu,0.757333333333333,0.691,0.724166666666667,0.688833333333333,0.808955333333333,0.808938777777778
7000,1,Breiman,0.774285714285714,0.689714285714286,0.732,0.718428571428571,0.817844775510204,0.817833632653061
7000,1,Freund,0.793142857142857,0.711428571428571,0.752285714285714,0.714142857142857,0.835655265306124,0.83564906122449
7000,1,Zhu,0.767714285714286,0.714,0.740857142857143,0.716857142857143,0.827050857142859,0.827038693877551
7000,2,Breiman,0.766857142857143,0.703714285714286,0.735285714285714,0.711,0.816664693877552,0.816647428571429
7000,2,Freund,0.784857142857143,0.724,0.754428571428571,0.705714285714286,0.833700163265309,0.833692326530612
7000,2,Zhu,0.776857142857143,0.708857142857143,0.742857142857143,0.709142857142857,0.8218873877551,0.821877224489796
7000,3,Breiman,0.778285714285714,0.683428571428571,0.730857142857143,0.712714285714286,0.813148612244897,0.81311493877551
7000,3,Freund,0.782285714285714,0.701714285714286,0.742,0.708428571428571,0.826124326530615,0.826109551020408
7000,3,Zhu,0.786,0.690857142857143,0.738428571428571,0.709857142857143,0.821293673469389,0.821276408163265
7000,4,Breiman,0.769428571428571,0.693428571428571,0.731428571428571,0.713714285714286,0.805360530612245,0.805299102040816
7000,4,Freund,0.788,0.694285714285714,0.741142857142857,0.706,0.819492285714288,0.819450285714286
7000,4,Zhu,0.786857142857143,0.699714285714286,0.743285714285714,0.709428571428571,0.814840734693876,0.814822040816326
7000,5,Breiman,0.764857142857143,0.695142857142857,0.73,0.708285714285714,0.811395020408163,0.811385306122449
7000,5,Freund,0.777428571428571,0.688285714285714,0.732857142857143,0.702714285714286,0.815167591836732,0.815117387755102
7000,5,Zhu,0.79,0.682,0.736,0.703428571428571,0.814923061224488,0.814838775510204
8000,1,Breiman,0.76625,0.70275,0.7345,0.71475,0.815738031249999,0.8157135
8000,1,Freund,0.7895,0.6815,0.7355,0.715,0.817361593750001,0.8173340625
8000,1,Zhu,0.7825,0.70225,0.742375,0.7085,0.824075875000003,0.824062125
8000,2,Breiman,0.76975,0.68175,0.72575,0.709125,0.808318781249997,0.8082880625
8000,2,Freund,0.7805,0.686,0.73325,0.71,0.815499343750002,0.8154819375
8000,2,Zhu,0.7835,0.68,0.73175,0.704375,0.817456187499997,0.817446875
8000,3,Breiman,0.76575,0.6795,0.722625,0.7075,0.804683312500004,0.80463525
8000,3,Freund,0.7695,0.67625,0.722875,0.702,0.809768906250001,0.809725125
8000,3,Zhu,0.76275,0.68725,0.725,0.70425,0.811304374999999,0.8112903125
8000,4,Breiman,0.76625,0.6655,0.715875,0.703375,0.803055906249998,0.803020125
8000,4,Freund,0.75375,0.699,0.726375,0.697625,0.812256562500004,0.81225175
8000,4,Zhu,0.76775,0.676,0.721875,0.696125,0.808667687500002,0.808658375
8000,5,Breiman,0.76575,0.68875,0.72725,0.711,0.8103824375,0.8103668125
