SampleSize|Layers|TrainingRun|TrainingAccuracy|cvAUC|TrainingTPR|TrainingTNR|TrainingAUC|TrainingConcordance|TrainingPrecision|TrainingF1Score
5000|(30, 22, 14, 9, 6)|1|0.7272|0.7666784|0.69|0.7644|0.80060992|0.80060992|0.745462402766|0.716659742418
5000|(30, 22, 14, 9, 6)|2|0.7106|0.7550816|0.6744|0.7468|0.784144|0.784144|0.727037516171|0.699730234488
5000|(30, 22, 14, 9, 6)|3|0.7424|0.7399536|0.716|0.7688|0.80741632|0.80741632|0.755912162162|0.735414954807
5000|(30, 22, 14, 9, 6)|4|0.7296|0.7567936|0.6548|0.8044|0.79814744|0.79785712|0.769990592662|0.707738867272
5000|(30, 22, 14, 9, 6)|5|0.7284|0.7498544|0.6888|0.768|0.80396688|0.80396688|0.748045178106|0.717201166181
5000|(30, 22, 14, 9, 6)|6|0.7426|0.757148|0.6864|0.7988|0.81870688|0.81870688|0.773321315908|0.727272727273
5000|(30, 22, 14, 9, 6)|7|0.7186|0.7579776|0.6604|0.7768|0.79262352|0.79262352|0.747397012223|0.701210448078
5000|(30, 22, 14, 9, 6)|8|0.7268|0.7528672|0.6696|0.784|0.79806304|0.79806304|0.756097560976|0.710224862113
5000|(30, 22, 14, 9, 6)|9|0.7644|0.7263984|0.652|0.8768|0.82714208|0.82714208|0.841073271414|0.734565119423
5000|(30, 22, 14, 9, 6)|10|0.7292|0.7574496|0.6616|0.7968|0.80720288|0.80720288|0.765032377428|0.709566709567
5000|(30, 22, 14, 9, 6)|11|0.7478|0.7466672|0.7024|0.7932|0.81994056|0.81994048|0.772547294325|0.735805573015
5000|(30, 22, 14, 9, 6)|12|0.7338|0.7528816|0.6792|0.7884|0.81265344|0.81265328|0.762460709475|0.718426063042
5000|(30, 22, 14, 9, 6)|13|0.746|0.7510912|0.6932|0.7988|0.8153952|0.8153952|0.775044722719|0.731841216216
5000|(30, 22, 14, 9, 6)|14|0.7346|0.759544|0.71|0.7592|0.8088736|0.8088736|0.746739587716|0.727906499897
5000|(30, 22, 14, 9, 6)|15|0.7296|0.7578592|0.702|0.7572|0.80416432|0.80416432|0.743014394581|0.72192513369
5000|(30, 22, 14, 9, 6)|16|0.7398|0.7489152|0.6852|0.7944|0.81658672|0.81658672|0.76919622811|0.724772583034
5000|(30, 22, 14, 9, 6)|17|0.736|0.755984|0.7236|0.7484|0.80896688|0.80896688|0.742001640689|0.732685297691
5000|(30, 22, 14, 9, 6)|18|0.7318|0.7548256|0.6836|0.78|0.81722432|0.81722432|0.756529437804|0.718218113049
5000|(30, 22, 14, 9, 6)|19|0.7316|0.7516512|0.6632|0.8|0.80245376|0.80245376|0.768303985171|0.711893516531
5000|(30, 22, 14, 9, 6)|20|0.7386|0.7360736|0.6728|0.8044|0.81344624|0.8134448|0.774758175956|0.720188396489
6000|(30, 22, 14, 9, 6)|1|0.726666666667|0.75374|0.695|0.758333333333|0.791913666667|0.791848777778|0.741992882562|0.717728055077
6000|(30, 22, 14, 9, 6)|2|0.737333333333|0.752765555556|0.687666666667|0.787|0.820306555556|0.820306555556|0.763508512213|0.723605752368
6000|(30, 22, 14, 9, 6)|3|0.734166666667|0.743567222222|0.678|0.790333333333|0.806224888889|0.806224888889|0.76380022531|0.718347165813
6000|(30, 22, 14, 9, 6)|4|0.737333333333|0.765812222222|0.686|0.788666666667|0.808430388889|0.808430222222|0.764487369985|0.723120168658
6000|(30, 22, 14, 9, 6)|5|0.741166666667|0.766451111111|0.698666666667|0.783666666667|0.814170944444|0.814170777778|0.763570127505|0.729677980853
6000|(30, 22, 14, 9, 6)|6|0.731|0.74099|0.679|0.783|0.811526388889|0.811526333333|0.7578125|0.716244725738
6000|(30, 22, 14, 9, 6)|7|0.736166666667|0.768676666667|0.714|0.758333333333|0.811372555556|0.811372555556|0.747122427625|0.730185784899
6000|(30, 22, 14, 9, 6)|8|0.739|0.757151111111|0.678666666667|0.799333333333|0.808957666667|0.808957666667|0.77179681577|0.722241929762
6000|(30, 22, 14, 9, 6)|9|0.735|0.763906666667|0.709666666667|0.760333333333|0.812423222222|0.812423222222|0.747542134831|0.728112175103
6000|(30, 22, 14, 9, 6)|10|0.728333333333|0.758607777778|0.683|0.773666666667|0.805979777778|0.805979777778|0.751099706745|0.715432960894
6000|(30, 22, 14, 9, 6)|11|0.733333333333|0.752886666667|0.710333333333|0.756333333333|0.806516555556|0.806516555556|0.744584206848|0.727055612419
6000|(30, 22, 14, 9, 6)|12|0.717833333333|0.755373333333|0.676|0.759666666667|0.791436111111|0.791436111111|0.737722808294|0.705514002435
6000|(30, 22, 14, 9, 6)|13|0.734166666667|0.743199444444|0.680333333333|0.788|0.811798222222|0.811798222222|0.762420620097|0.719041747402
6000|(30, 22, 14, 9, 6)|14|0.735333333333|0.750448888889|0.697666666667|0.773|0.813138444444|0.813138444444|0.754506128335|0.724974021476
6000|(30, 22, 14, 9, 6)|15|0.749666666667|0.763441111111|0.686|0.813333333333|0.824933333333|0.824933333333|0.786096256684|0.73264506942
6000|(30, 22, 14, 9, 6)|16|0.744|0.76598|0.725|0.763|0.819449611111|0.819449555556|0.753638253638|0.739041794088
6000|(30, 22, 14, 9, 6)|17|0.730333333333|0.745962222222|0.661|0.799666666667|0.806734|0.806734|0.767414860681|0.710243553009
6000|(30, 22, 14, 9, 6)|18|0.747833333333|0.760817777778|0.712333333333|0.783333333333|0.823148444444|0.823148444444|0.766774309293|0.738551926732
6000|(30, 22, 14, 9, 6)|19|0.745166666667|0.759394444444|0.683666666667|0.806666666667|0.816597444444|0.816597444444|0.77955150133|0.728467412538
6000|(30, 22, 14, 9, 6)|20|0.735333333333|0.751996111111|0.668|0.802666666667|0.802671111111|0.802671111111|0.771956856703|0.716225875625
7000|(30, 22, 14, 9, 6)|1|0.732285714286|0.753584489796|0.674|0.790571428571|0.806973877551|0.806973877551|0.762936610608|0.715716019417
7000|(30, 22, 14, 9, 6)|2|0.744857142857|0.769270204082|0.685428571429|0.804285714286|0.814635918367|0.814635918367|0.777885862516|0.728736330498
7000|(30, 22, 14, 9, 6)|3|0.724571428571|0.769176326531|0.680571428571|0.768571428571|0.796625877551|0.796625877551|0.746240601504|0.711894799761
7000|(30, 22, 14, 9, 6)|4|0.732857142857|0.766718367347|0.679142857143|0.786571428571|0.805069061224|0.805069061224|0.760883482714|0.717693236715
7000|(30, 22, 14, 9, 6)|5|0.720571428571|0.752600816327|0.671714285714|0.769428571429|0.787896897959|0.787896897959|0.744458518049|0.706218083509
7000|(30, 22, 14, 9, 6)|6|0.725285714286|0.750460408163|0.668285714286|0.782285714286|0.798292163265|0.798292163265|0.754272815221|0.708680502954
7000|(30, 22, 14, 9, 6)|7|0.722|0.748563265306|0.677142857143|0.766857142857|0.795812897959|0.795812897959|0.743879472693|0.70894406222
7000|(30, 22, 14, 9, 6)|8|0.724857142857|0.761001632653|0.687142857143|0.762571428571|0.803958612245|0.803958612245|0.743201483313|0.714073634204
7000|(30, 22, 14, 9, 6)|9|0.739285714286|0.760487346939|0.682285714286|0.796285714286|0.808824489796|0.808824489796|0.770074169623|0.723526738373
7000|(30, 22, 14, 9, 6)|10|0.738857142857|0.767096326531|0.694571428571|0.783142857143|0.814252081633|0.814252081633|0.762068965517|0.726756352765
7000|(30, 22, 14, 9, 6)|11|0.732142857143|0.765998367347|0.679714285714|0.784571428571|0.811601061224|0.811601061224|0.759336099585|0.717322478517
7000|(30, 22, 14, 9, 6)|12|0.733428571429|0.763439591837|0.702285714286|0.764571428571|0.804136163265|0.804136163265|0.748933577087|0.724859923326
7000|(30, 22, 14, 9, 6)|13|0.736857142857|0.769100408163|0.685428571429|0.788285714286|0.807699673469|0.807699673469|0.764012738854|0.722590361446
7000|(30, 22, 14, 9, 6)|14|0.727285714286|0.759840816327|0.689428571429|0.765142857143|0.806085877551|0.806085877551|0.745904173107|0.716555308092
